period,Credit_Growth_YoY_Pct
2003-01-31,22.750463
2003-02-28,25.321274
2003-03-31,30.467259
2003-04-30,29.791111
2003-05-31,29.903432
2003-06-30,28.008366
2003-07-31,28.124949
2003-08-31,24.576226
2003-09-30,23.423747
2003-10-31,23.635441
2003-11-30,21.300497
2003-12-31,19.465461
2004-01-31,20.950167
2004-02-29,19.459436
2004-03-31,19.059383
2004-04-30,19.584157
2004-05-31,23.392612
2004-06-30,24.983932
2004-07-31,23.892727
2004-08-31,26.060192
2004-09-30,25.6289
2004-10-31,25.597288
2004-11-30,23.758161
2004-12-31,27.31179
2005-01-31,27.474285
2005-02-28,28.809845
2005-03-31,29.752258
2005-04-30,30.251561
2005-05-31,30.580248
2005-06-30,29.797674
2005-07-31,31.645212
2005-08-31,31.915715
2005-09-30,32.40557
2005-10-31,30.343431
2005-11-30,29.035804
2005-12-31,25.837482
2006-01-31,23.728535
2006-02-28,21.453851
2006-03-31,19.053004
2006-04-30,16.982989
2006-05-31,15.109735
2006-06-30,14.098058
2006-07-31,11.932708
2006-08-31,9.624639
2006-09-30,10.01841
2006-10-31,10.48245
2006-11-30,11.981752
2006-12-31,14.036454
2007-01-31,13.925578
2007-02-28,14.962857
2007-03-31,16.41501
2007-04-30,17.463631
2007-05-31,16.680475
2007-06-30,19.902888
2007-07-31,21.152616
2007-08-31,22.203607
2007-09-30,21.950659
2007-10-31,23.189814
2007-11-30,24.725743
2007-12-31,26.031575
2008-01-31,27.012072
2008-02-29,27.588266
2008-03-31,29.033989
2008-04-30,30.562267
2008-05-31,32.767
2008-06-30,33.617146
2008-07-31,34.320617
2008-08-31,35.456519
2008-09-30,36.884307
2008-10-31,39.265144
2008-11-30,38.203734
2008-12-31,30.840648
2009-01-31,30.839936
2009-02-28,29.925651
2009-03-31,25.905852
2009-04-30,22.070813
2009-05-31,18.933176
2009-06-30,15.858772
2009-07-31,14.622985
2009-08-31,13.13616
2009-09-30,9.562069
2009-10-31,6.228423
2009-11-30,5.727836
2009-12-31,10.117797
2010-01-31,9.711427
2010-02-28,10.434157
2010-03-31,12.44882
2010-04-30,15.77658
2010-05-31,18.782908
2010-06-30,20.556552
2010-07-31,20.485049
2010-08-31,21.180934
2010-09-30,22.494274
2010-10-31,22.497578
2010-11-30,22.838322
2010-12-31,23.278358
2011-01-31,24.050629
2011-02-28,24.261053
2011-03-31,24.74167
2011-04-30,23.88222
2011-05-31,23.534793
2011-06-30,22.965792
2011-07-31,23.539628
2011-08-31,23.890451
2011-09-30,25.230708
2011-10-31,25.753584
2011-11-30,25.818572
2011-12-31,24.673889
2012-01-31,25.189988
2012-02-29,24.180526
2012-03-31,24.892517
2012-04-30,25.918218
2012-05-31,26.117333
2012-06-30,25.682247
2012-07-31,25.197126
2012-08-31,23.621216
2012-09-30,23.013525
2012-10-31,22.847236
2012-11-30,22.649675
2012-12-31,23.131373
2013-01-31,23.130637
2013-02-28,23.392705
2013-03-31,22.233983
2013-04-30,21.898895
2013-05-31,21.116945
2013-06-30,20.758051
2013-07-31,22.372883
2013-08-31,22.182412
2013-09-30,23.383194
2013-10-31,22.096253
2013-11-30,21.956564
2013-12-31,21.392429
2014-01-31,21.156407
2014-02-28,20.166317
2014-03-31,19.362056
2014-04-30,18.878031
2014-05-31,17.735858
2014-06-30,17.053564
2014-07-31,15.426255
2014-08-31,13.834423
2014-09-30,12.751186
2014-10-31,12.518593
2014-11-30,11.890536
2014-12-31,11.556878
2015-01-31,11.373492
2015-02-28,11.996195
2015-03-31,11.107772
2015-04-30,10.348426
2015-05-31,10.321742
2015-06-30,10.264717
2015-07-31,9.629335
2015-08-31,10.840833
2015-09-30,10.917919
2015-10-31,10.063299
2015-11-30,9.551252
2015-12-31,10.119798
2016-01-31,9.313877
2016-02-29,8.052845
2016-03-31,8.43931
2016-04-30,7.740755
2016-05-31,8.076334
2016-06-30,8.676772
2016-07-31,7.601346
2016-08-31,6.751416
2016-09-30,6.434162
2016-10-31,7.401457
2016-11-30,8.469535
2016-12-31,7.821891
2017-01-31,8.20581
2017-02-28,8.424337
2017-03-31,9.151601
2017-04-30,9.370157
2017-05-31,8.638407
2017-06-30,7.576087
2017-07-31,7.975371
2017-08-31,8.041838
2017-09-30,7.674491
2017-10-31,8.052984
2017-11-30,7.439321
2017-12-31,8.202958
2018-01-31,7.455886
2018-02-28,8.247884
2018-03-31,8.488224
2018-04-30,8.907377
2018-05-31,10.232652
2018-06-30,10.652021
2018-07-31,11.188197
2018-08-31,11.907863
2018-09-30,12.426465
2018-10-31,13.086501
2018-11-30,11.882777
2018-12-31,11.720909
2019-01-31,11.911107
2019-02-28,12.026055
2019-03-31,11.547585
2019-04-30,11.061867
2019-05-31,11.063838
2019-06-30,9.903758
2019-07-31,9.69148
2019-08-31,8.665889
2019-09-30,8.000333
2019-10-31,6.606329
2019-11-30,7.007072
2019-12-31,5.859862
2020-01-31,5.719896
2020-02-29,5.532162
2020-03-31,7.259622
2020-04-30,5.131859
2020-05-31,2.510759
2020-06-30,1.087278
2020-07-31,1.029885
2020-08-31,0.600548
2020-09-30,-0.298593
2020-10-31,-0.803166
2020-11-30,-1.674615
2020-12-31,-2.625887
2021-01-31,-2.046009
2021-02-28,-2.254894
2021-03-31,-3.65061
2021-04-30,-2.332196
2021-05-31,-1.289218
2021-06-30,0.440691
2021-07-31,0.400863
2021-08-31,1.068529
2021-09-30,2.086361
2021-10-31,3.008667
2021-11-30,4.435627
2021-12-31,4.933414
2022-01-31,5.524319
2022-02-28,6.061273
2022-03-31,6.395301
2022-04-30,8.888116
2022-05-31,8.66008
2022-06-30,10.392995
2022-07-31,10.433485
2022-08-31,10.345062
2022-09-30,10.796989
2022-10-31,11.721031
2022-11-30,10.868972
2022-12-31,10.978114
2023-01-31,10.233873
2023-02-28,10.435952
2023-03-31,9.843273
2023-04-30,8.083058
2023-05-31,9.450464
2023-06-30,7.754531
2023-07-31,8.432227
2023-08-31,8.932769
2023-09-30,8.741342
2023-10-31,8.685587
2023-11-30,9.691932
2023-12-31,10.294923
2024-01-31,11.548953
2024-02-29,10.99138
2024-03-31,11.876587
2024-04-30,12.289468
2024-05-31,11.406983
2024-06-30,11.383618
2024-07-31,11.739285
2024-08-31,10.935981
2024-09-30,10.42245
