period,Credit_Triliun_Rp
2002-01-31,292.249
2002-02-28,292.896
2002-03-31,288.234
2002-04-30,293.074
2002-05-31,293.575
2002-06-30,302.656
2002-07-31,307.325
2002-08-31,321.693
2002-09-30,331.514
2002-10-31,339.084
2002-11-30,355.095
2002-12-31,365.062
2003-01-31,358.737
2003-02-28,367.061
2003-03-31,376.051
2003-04-30,380.384
2003-05-31,381.364
2003-06-30,387.425
2003-07-31,393.76
2003-08-31,400.753
2003-09-30,409.167
2003-10-31,419.228
2003-11-30,430.732
2003-12-31,436.123
2004-01-31,433.893
2004-02-29,438.489
2004-03-31,447.724
2004-04-30,454.879
2004-05-31,470.575
2004-06-30,484.219
2004-07-31,487.84
2004-08-31,505.19
2004-09-30,514.032
2004-10-31,526.539
2004-11-30,533.066
2004-12-31,555.236
2005-01-31,553.102
2005-02-28,564.817
2005-03-31,580.932
2005-04-30,592.487
2005-05-31,614.478
2005-06-30,628.505
2005-07-31,642.218
2005-08-31,666.425
2005-09-30,680.607
2005-10-31,686.309
2005-11-30,687.846
2005-12-31,698.695
2006-01-31,684.345
2006-02-28,685.992
2006-03-31,691.617
2006-04-30,693.109
2006-05-31,707.324
2006-06-30,717.112
2006-07-31,718.852
2006-08-31,730.566
2006-09-30,748.793
2006-10-31,758.251
2006-11-30,770.262
2006-12-31,796.767
2007-01-31,779.644
2007-02-28,788.636
2007-03-31,805.146
2007-04-30,814.151
2007-05-31,825.309
2007-06-30,859.838
2007-07-31,870.908
2007-08-31,892.778
2007-09-30,913.158
2007-10-31,934.088
2007-11-30,960.715
2007-12-31,1004.178
2008-01-31,990.242
2008-02-29,1006.207
2008-03-31,1038.912
2008-04-30,1062.974
2008-05-31,1095.738
2008-06-30,1148.891
2008-07-31,1169.809
2008-08-31,1209.326
2008-09-30,1249.97
2008-10-31,1300.859
2008-11-30,1327.744
2008-12-31,1313.873
2009-01-31,1295.632
2009-02-28,1307.321
2009-03-31,1308.051
2009-04-30,1297.581
2009-05-31,1303.196
2009-06-30,1331.091
2009-07-31,1340.87
2009-08-31,1368.185
2009-09-30,1369.493
2009-10-31,1381.882
2009-11-30,1403.795
2009-12-31,1446.808
2010-01-31,1421.45635
2010-02-28,1443.72892
2010-03-31,1470.88791
2010-04-30,1502.2949
2010-05-31,1547.9741
2010-06-30,1604.71742
2010-07-31,1615.54788
2010-08-31,1657.97936
2010-09-30,1677.55051
2010-10-31,1692.77198
2010-11-30,1724.39822
2010-12-31,1783.60115
2011-01-31,1763.32554
2011-02-28,1793.99276
2011-03-31,1834.81015
2011-04-30,1861.07627
2011-05-31,1912.2866
2011-06-30,1973.25348
2011-07-31,1995.84184
2011-08-31,2054.07811
2011-09-30,2100.80838
2011-10-31,2128.72143
2011-11-30,2169.61321
2011-12-31,2223.68492
2012-01-31,2207.50704
2012-02-29,2227.78964
2012-03-31,2291.54058
2012-04-30,2343.43408
2012-05-31,2411.72485
2012-06-30,2480.02932
2012-07-31,2498.73663
2012-08-31,2539.27634
2012-09-30,2584.27844
2012-10-31,2615.07544
2012-11-30,2661.02354
2012-12-31,2738.05377
2013-01-31,2718.11748
2013-02-28,2748.9299
2013-03-31,2801.04133
2013-04-30,2856.62024
2013-05-31,2921.00747
2013-06-30,2994.83508
2013-07-31,3057.77606
2013-08-31,3102.54909
2013-09-30,3188.56527
2013-10-31,3192.90912
2013-11-30,3245.29288
2013-12-31,3323.78999
2014-01-31,3293.17347
2014-02-28,3303.28782
2014-03-31,3343.38053
2014-04-30,3395.89389
2014-05-31,3439.07321
2014-06-30,3505.5612
2014-07-31,3529.47638
2014-08-31,3531.76886
2014-09-30,3595.14517
2014-10-31,3592.61643
2014-11-30,3631.17561
2014-12-31,3707.91633
2015-01-31,3667.72228
2015-02-28,3699.55666
2015-03-31,3714.7556
2015-04-30,3747.31547
2015-05-31,3794.04548
2015-06-30,3865.39713
2015-07-31,3869.34149
2015-08-31,3914.64203
2015-09-30,3987.66021
2015-10-31,3954.15216
2015-11-30,3977.99835
2015-12-31,4083.14999
2016-01-31,4009.32942
2016-02-29,3997.47624
2016-03-31,4028.25533
2016-04-30,4037.38598
2016-05-31,4100.46525
2016-06-30,4200.788819
2016-07-31,4163.463519
2016-08-31,4178.935806
2016-09-30,4244.232748
2016-10-31,4246.817045
2016-11-30,4314.916315
2016-12-31,4402.529543
2017-01-31,4338.327372
2017-02-28,4334.237129
2017-03-31,4396.905184
2017-04-30,4415.695367
2017-05-31,4454.680125
2017-06-30,4519.04424
2017-07-31,4495.515191
2017-08-31,4514.999039
2017-09-30,4569.956009
2017-10-31,4588.812532
2017-11-30,4635.916793
2017-12-31,4763.667206
2018-01-31,4661.788098
2018-02-28,4691.719969
2018-03-31,4770.124327
2018-04-30,4809.017981
2018-05-31,4910.512049
2018-06-30,5000.413769
2018-07-31,4998.482289
2018-08-31,5052.638923
2018-09-30,5137.839977
2018-10-31,5189.327513
2018-11-30,5186.792458
2018-12-31,5322.012303
2019-01-31,5217.05868
2019-02-28,5255.948779
2019-03-31,5320.958503
2019-04-30,5340.985148
2019-05-31,5453.80314
2019-06-30,5495.642633
2019-07-31,5482.909199
2019-08-31,5490.494983
2019-09-30,5548.884275
2019-10-31,5532.151566
2019-11-30,5550.234732
2019-12-31,5633.874894
2020-01-31,5515.469011
2020-02-29,5546.716391
2020-03-31,5707.239987
2020-04-30,5615.076962
2020-05-31,5590.73499
2020-06-30,5555.395573
2020-07-31,5539.376847
2020-08-31,5523.468047
2020-09-30,5532.315711
2020-10-31,5487.71922
2020-11-30,5457.289681
2020-12-31,5485.935714
2021-01-31,5402.622023
2021-02-28,5421.643829
2021-03-31,5498.890913
2021-04-30,5484.122335
2021-05-31,5518.658236
2021-06-30,5579.877712
2021-07-31,5561.582187
2021-08-31,5582.487925
2021-09-30,5647.739764
2021-10-31,5652.826433
2021-11-30,5699.354691
2021-12-31,5756.579659
2022-01-31,5701.080103
2022-02-28,5750.264448
2022-03-31,5850.561533
2022-04-30,5971.5575
2022-05-31,5996.578446
2022-06-30,6159.794107
2022-07-31,6141.849023
2022-08-31,6159.999785
2022-09-30,6257.525613
2022-10-31,6315.395948
2022-11-30,6318.815967
2022-12-31,6388.543548
2023-01-31,6284.521414
2023-02-28,6350.359281
2023-03-31,6426.448288
2023-04-30,6454.24194
2023-05-31,6563.282919
2023-06-30,6637.45727
2023-07-31,6659.743699
2023-08-31,6710.258355
2023-09-30,6804.517342
2023-10-31,6863.925148
2023-11-30,6931.231291
2023-12-31,7046.239169
2024-01-31,7010.317858
2024-02-29,7048.351396
2024-03-31,7189.691026
2024-04-30,7247.433926
2024-05-31,7311.955466
2024-06-30,7393.040044
2024-07-31,7441.549978
2024-08-31,7444.090956
