period,Foreign_Reserves_Miliar_USD
2005-07-31,32208.4
2005-08-31,31180.3
2005-09-30,30318.3
2005-10-31,32646.1
2005-11-30,33239.8
2005-12-31,34723.7
2006-01-31,35076.7
2006-02-28,35525.1
2006-03-31,40081.6
2006-04-30,42811.6
2006-05-31,44293.7
2006-06-30,40107.1
2006-07-31,41125.8
2006-08-31,41995.4
2006-09-30,42352.9
2006-10-31,39895.4
2006-11-30,41578.6
2006-12-31,42586.3
2007-01-31,43266.3
2007-02-28,45690.0
2007-03-31,47221.2
2007-04-30,49309.4
2007-05-31,50112.8
2007-06-30,50924.4
2007-07-31,51879.8
2007-08-31,51426.4
2007-09-30,52875.0
2007-10-31,54154.0
2007-11-30,54897.0
2007-12-31,56920.0
2008-01-31,55999.0
2008-02-29,57125.0
2008-03-31,58987.0
2008-04-30,58770.0
2008-05-31,57464.0
2008-06-30,59453.0
2008-07-31,60563.0
2008-08-31,58356.0
2008-09-30,57108.0
2008-10-31,50580.0
2008-11-30,50181.62
2008-12-31,51639.32
2009-01-31,50869.55
2009-02-28,50564.33
2009-03-31,54840.17
2009-04-30,56565.91
2009-05-31,57934.1
2009-06-30,57576.02
2009-07-31,57418.45
2009-08-31,57943.04
2009-09-30,62287.14
2009-10-31,64528.45
2009-11-30,65844.16
2009-12-31,66104.9
2010-01-31,69562.48
2010-02-28,69730.61
2010-03-31,71823.21
2010-04-30,78582.76
2010-05-31,74587.29
2010-06-30,76321.25
2010-07-31,78794.08
2010-08-31,81317.21
2010-09-30,86550.64
2010-10-31,91798.63
2010-11-30,92759.0
2010-12-31,96207.0
2011-01-31,95332.0
2011-02-28,99619.0
2011-03-31,105709.0
2011-04-30,113814.19
2011-05-31,118109.0
2011-06-30,119655.0
2011-07-31,122671.0
2011-08-31,124638.0
2011-09-30,114502.0
2011-10-31,113962.0
2011-11-30,111316.0
2011-12-31,110123.0
2012-01-31,111990.0
2012-02-29,112220.0
2012-03-31,110493.0
2012-04-30,116413.0
2012-05-31,111528.0
2012-06-30,106502.0
2012-07-31,106559.0
2012-08-31,108990.0
2012-09-30,110172.0
2012-10-31,110297.0
2012-11-30,111285.0
2012-12-31,112781.0
2013-01-31,108780.0
2013-02-28,105183.0
2013-03-31,104800.0
2013-04-30,107269.0
2013-05-31,105149.0
2013-06-30,98095.0
2013-07-31,92671.0
2013-08-31,92997.0
2013-09-30,95675.0
2013-10-31,96996.0
2013-11-30,96960.0
2013-12-31,99387.0
2014-01-31,100651.0
2014-02-28,102741.0
2014-03-31,102592.0
2014-04-30,105563.0
2014-05-31,107048.0
2014-06-30,107678.0
2014-07-31,110542.0
2014-08-31,111224.0
2014-09-30,111164.0
2014-10-31,111973.0
2014-11-30,111144.0
2014-12-31,111862.0
2015-01-31,114250.0
2015-02-28,115527.0
2015-03-31,111554.0
2015-04-30,110867.0
2015-05-31,110771.0
2015-06-30,108030.0
2015-07-31,107553.0
2015-08-31,105346.0
2015-09-30,101720.0
2015-10-31,100712.0
2015-11-30,100240.0
2015-12-31,105931.0
2016-01-31,102134.0
2016-02-29,104544.0
2016-03-31,107543.0
2016-04-30,107711.0
2016-05-31,103591.0
2016-06-30,109789.0
2016-07-31,111409.0
2016-08-31,113538.0
2016-09-30,115671.0
2016-10-31,115037.0
2016-11-30,111466.0
2016-12-31,116362.0
2017-01-31,116890.0
2017-02-28,119863.0
2017-03-31,121806.0
2017-04-30,123249.0
2017-05-31,124953.0
2017-06-30,123094.0
2017-07-31,127759.0
2017-08-31,128787.0
2017-09-30,129402.0
2017-10-31,126547.0
2017-11-30,125967.0
2017-12-31,130196.0
2018-01-31,131980.0
2018-02-28,128059.0
2018-03-31,126003.0
2018-04-30,124862.0
2018-05-31,122914.0
2018-06-30,119839.0
2018-07-31,118312.0
2018-08-31,117927.0
2018-09-30,114847.52
2018-10-31,115163.0
2018-11-30,117212.0
2018-12-31,120654.0
2019-01-31,120075.0
2019-02-28,123274.0
2019-03-31,124539.0
2019-04-30,124294.0
2019-05-31,120347.0
2019-06-30,123823.0
2019-07-31,125900.0
2019-08-31,126441.0
2019-09-30,124332.0
2019-10-31,126694.0
2019-11-30,126633.0
2019-12-31,129183.0
2020-01-31,131704.0
2020-02-29,130444.0
2020-03-31,120969.0
2020-04-30,127880.0
2020-05-31,130544.0
2020-06-30,131718.0
2020-07-31,135077.0
2020-08-31,137041.0
2020-09-30,135153.0
2020-10-31,133663.0
2020-11-30,133556.0
2020-12-31,135897.0
2021-01-31,138005.0
2021-02-28,138787.0
2021-03-31,137095.0
2021-04-30,138799.0
2021-05-31,136398.0
2021-06-30,137093.0
2021-07-31,137343.0
2021-08-31,144784.0
2021-09-30,146870.0
2021-10-31,145461.0
2021-11-30,145858.0
2021-12-31,144905.0
2022-01-31,141344.0
2022-02-28,141435.0
2022-03-31,139129.0
2022-04-30,135659.0
2022-05-31,135550.0
2022-06-30,136379.0
2022-07-31,132173.0
2022-08-31,132202.0
2022-09-30,130782.0
2022-10-31,130197.0
2022-11-30,133994.0
2022-12-31,137233.0
2023-01-31,139404.0
2023-02-28,140311.0
2023-03-31,145189.0
2023-04-30,144167.0
2023-05-31,139286.0
2023-06-30,137541.0
2023-07-31,137674.0
2023-08-31,137090.0
2023-09-30,134856.0
2023-10-31,133140.0
2023-11-30,138100.0
2023-12-31,146384.0
2024-01-31,145052.0
2024-02-29,144040.0
2024-03-31,140390.0
2024-04-30,136218.0
2024-05-31,138973.0
2024-06-30,140177.0
2024-07-31,145414.0
2024-08-31,150243.0
2024-09-30,149922.0
2024-10-31,151233.0
2024-11-30,150243.0
2024-12-31,155719.0
2025-01-31,156085.0
2025-02-28,154509.0
2025-03-31,157090.0
2025-04-30,152467.0
2025-05-31,152488.0
2025-06-30,152567.0
2025-07-31,151988.0
2025-08-31,150708.0
2025-09-30,148737.0
2025-10-31,149933.0
2025-11-30,150061.0
2025-12-31,156471.0
2026-01-31,154600.0
2026-02-28,151900.0
2026-03-31,148200.0
2026-04-30,146200.0
2026-05-31,
