period,M2_Rp
2005-07-01,1092206128811780
2005-08-01,1119101567521950
2005-09-01,1154052932654340
2005-10-01,1168842127096600
2005-11-01,1169085354258800
2005-12-01,1202762248375400
2006-01-01,1194939322570170
2006-02-01,1197772225677140
2006-03-01,1198747657807600
2006-04-01,1197121885927660
2006-05-01,1241864509688230
2006-06-01,1257784628733600
2006-07-01,1252815511984030
2006-08-01,1274084120786800
2006-09-01,1294744466677820
2006-10-01,1329425425238330
2006-11-01,1341939766062860
2006-12-01,1382493281365620
2007-01-01,1367956931083820
2007-02-01,1369242706808300
2007-03-01,1379237227358430
2007-04-01,1385714839416470
2007-05-01,1396067406996780
2007-06-01,1454577213202680
2007-07-01,1474768822628880
2007-08-01,1493049726866040
2007-09-01,1516884342923490
2007-10-01,1533845660111680
2007-11-01,1559569593933360
2007-12-01,1649661781071100
2008-01-01,1596564515009240
2008-02-01,1603750368660810
2008-03-01,1594389666232050
2008-04-01,1611690568407020
2008-05-01,1641732967433860
2008-06-01,1703381407591570
2008-07-01,1686050299321320
2008-08-01,1682811445600000
2008-09-01,1778138880000000
2008-10-01,1812490127985310
2008-11-01,1851023399784140
2008-12-01,1895838620016980
2009-01-01,1874145348216060
2009-02-01,1900208429085310
2009-03-01,1916752459178680
2009-04-01,1912623059847630
2009-05-01,1927069631568780
2009-06-01,1977532528683670
2009-07-01,1960950157819680
2009-08-01,1995294265959510
2009-09-01,2018031061963300
2009-10-01,2021517405134300
2009-11-01,2032304572184740
2009-12-01,2141383778982180
2010-01-01,2073859856071580
2010-02-01,2066481072828720
2010-03-01,2112082784169790
2010-04-01,2116023616920360
2010-05-01,2143234127500000
2010-06-01,2231144407300000
2010-07-01,2217588885600000
2010-08-01,2236459528300000
2010-09-01,2274954645100000
2010-10-01,2308846052000000
2010-11-01,2347806939700000
2010-12-01,2471205870600000
2011-01-01,2436679028300000
2011-02-01,2420191218059160
2011-03-01,2451357000227430
2011-04-01,2434478461166630
2011-05-01,2475286051439650
2011-06-01,2522783887187080
2011-07-01,2564556208938040
2011-08-01,2621345813852100
2011-09-01,2643331531554340
2011-10-01,2677787008319820
2011-11-01,2729538345341420
2011-12-01,2877219653876060
2012-01-01,2857127008000000
2012-02-01,2852005017000000
2012-03-01,2914194552000000
2012-04-01,2929610448000000
2012-05-01,2994474473000000
2012-06-01,3052786179000000
2012-07-01,3057335836000000
2012-08-01,3091568578000000
2012-09-01,3128179350000000
2012-10-01,3164443239000000
2012-11-01,3207908371000000
2012-12-01,3307507637000000
2013-01-01,3268789238000000
2013-02-01,3280420334000000
2013-03-01,3322529040000000
2013-04-01,3360928156000000
2013-05-01,3426305002000000
2013-06-01,3413378749000000
2013-07-01,3506573687000000
2013-08-01,3502419892000000
2013-09-01,3584080637000000
2013-10-01,3576869449000000
2013-11-01,3615972962530320
2013-12-01,3730197015822420
2014-01-01,3652144498940330
2014-02-01,3642808733212190
2014-03-01,3660298012748040
2014-04-01,3730177930000000
2014-05-01,3789278640387830
2014-06-01,3865890611881100
2014-07-01,3895981202646250
2014-08-01,3895374362120540
2014-09-01,4010146659433640
2014-10-01,4024488869615130
2014-11-01,4076669883566530
2014-12-01,4173326503006620
2015-01-01,4174825905843960
2015-02-01,4218122755658290
2015-03-01,4246361193922120
2015-04-01,4275711112940420
2015-05-01,4288369264872820
2015-06-01,4358801509430190
2015-07-01,4373208096284830
2015-08-01,4404085027150400
2015-09-01,4508603173900000
2015-10-01,4443078084500000
2015-11-01,4452324646200000
2015-12-01,4548800272300000
2016-01-01,4498361280875400
2016-02-01,4521951198880480
2016-03-01,4561074110522340
2016-04-01,4580760214300000
2016-05-01,4613593420000000
2016-06-01,4737451232086760
2016-07-01,4730379684661370
2016-08-01,4746026680983730
2016-09-01,4737630763855280
2016-10-01,4778478891686120
2016-11-01,4868651156761560
2016-12-01,5004976786498600
2017-01-01,4936881988523720
2017-02-01,4942919762237140
2017-03-01,5017643554480910
2017-04-01,5047448927404830
