Year,Inflation_Target_Center,Inflation_Target_Lower,Inflation_Target_Upper,Inflation_Actual_YoY
2001,5.0,4.0,6.0,12.55
2002,9.5,9.0,10.0,10.03
2003,9.0,8.0,10.0,5.06
2004,5.5,4.5,6.5,6.4
2005,6.0,5.0,7.0,17.11
2006,8.0,7.0,9.0,6.6
2007,6.0,5.0,7.0,6.59
2008,5.0,4.0,6.0,11.06
2009,4.5,3.5,5.5,2.78
2010,5.0,4.0,6.0,6.96
2011,5.0,4.0,6.0,3.79
2012,4.5,3.5,5.5,4.3
2013,4.5,3.5,5.5,8.38
2014,4.5,3.5,5.5,8.36
2015,4.0,3.0,5.0,3.35
2016,4.0,3.0,5.0,3.02
2017,4.0,3.0,5.0,3.61
2018,3.5,2.5,4.5,3.13
2019,3.5,2.5,4.5,2.72
2020,3.0,2.0,4.0,1.68
2021,3.0,2.0,4.0,1.87
2022,3.0,2.0,4.0,5.51
2023,3.0,2.0,4.0,2.61
2024,2.5,1.5,3.5,1.57
2025,2.5,1.5,3.5,2.92
2026,2.5,1.5,3.5,
