PDB Lapangan Usaha (Seri 2010),,,,,,,,,,,,,,,
,[Seri 2010] Laju Pertumbuhan PDB Seri 2010 (Persen),,,,,,,,,,,,,,
,Laju Pertumbuhan Kumulatif (c-to-c),,,,,Laju Pertumbuhan Triwulanan Berantai (q-to-q),,,,,Laju Pertumbuhan Triwulanan terhadap Triwulan yang Sama Tahun Sebelumnya (y-on-y),,,,
,2016,,,,,2016,,,,,2016,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
"A. Pertanian, Kehutanan, dan Perikanan",1.48,2.55,2.79,3.37,3.37,13.61,12.54,4.77,-21.24,3.37,1.48,3.53,3.22,5.5,3.37
"1. Pertanian, Peternakan, Perburuan dan Jasa Pertanian",0.36,2.02,2.36,3.26,3.26,21.09,14.8,5.81,-27.36,3.26,0.36,3.52,2.95,6.85,3.26
a. Tanaman Pangan,-5.8,-0.22,0.53,2.57,2.57,94.83,6.53,-3.46,-42.71,2.57,-5.8,5.66,2.08,14.79,2.57
b. Tanaman Hortikultura,0.02,0.75,2.41,2.93,2.93,9.06,14.58,4.67,-19.89,2.93,0.02,1.4,5.51,4.78,2.93
c. Tanaman Perkebunan,5.93,3.69,3.1,3.47,3.47,-3.91,30.55,15.29,-27.57,3.47,5.93,2.03,2.23,4.76,3.47
d. Peternakan,4.5,4.65,4.62,4.45,4.45,0.29,1.5,3.14,-0.98,4.45,4.5,4.8,4.58,3.96,4.45
e. Jasa Pertanian dan Perburuan,0.06,1.89,2.28,3.18,3.18,22.2,7.51,6.43,-23.73,3.18,0.06,3.66,2.98,6.65,3.18
2. Kehutanan dan Penebangan Kayu,-0.32,-1.65,-1.35,-1.03,-1.03,-12.31,20.47,-6.13,0.76,-1.03,-0.32,-2.72,-0.75,-0.08,-1.03
3. Perikanan,7.06,6.33,6.14,5.19,5.19,-4.17,0.92,3.11,2.85,5.19,7.06,5.63,5.78,2.55,5.19
B. Pertambangan dan Penggalian,1.22,1.13,0.81,0.95,0.95,1.33,-2.54,0.56,2.06,0.95,1.22,1.04,0.17,1.35,0.95
"1. Pertambangan Minyak, Gas dan Panas Bumi",6.56,4.42,3.24,2.09,2.09,2.05,-2.51,0.14,-0.89,2.09,6.56,2.31,0.93,-1.27,2.09
2. Pertambangan Batubara dan Lignit,-6.27,-5.23,-5.35,-4.14,-4.14,-0.14,-5.53,-1.58,7.21,-4.14,-6.27,-4.1,-5.6,-0.46,-4.14
3. Pertambangan Bijih Logam,-1.11,-4.93,-0.87,1.82,1.82,-1.73,1.09,8.35,2.3,1.82,-1.11,-8.43,7.57,10.11,1.82
4. Pertambangan dan Penggalian Lainnya,4.28,8.85,6.9,6.36,6.36,3.95,0.01,0.1,0.67,6.36,4.28,13.84,3.21,4.77,6.36
C. Industri Pengolahan,4.68,4.65,4.59,4.26,4.26,-0.3,3.53,0.78,-0.71,4.26,4.68,4.62,4.47,3.28,4.26
1. Industri Batubara dan Pengilangan Migas,5.96,5.63,4.41,2.84,2.84,0.61,0.07,0.25,-2.64,2.84,5.96,5.3,2.07,-1.73,2.84
Industri Pengolahan Non Migas,4.51,4.53,4.61,4.43,4.43,-0.42,3.97,0.85,-0.48,4.43,4.51,4.54,4.77,3.91,4.43
1. Industri Makanan dan Minuman,7.6,7.88,8.6,8.33,8.33,-0.05,9.65,1.67,-3.5,8.33,7.6,8.13,9.98,7.53,8.33
2. Industri Pengolahan Tembakau,5.17,4,2.61,1.58,1.58,-8.1,3.82,1.46,1.97,1.58,5.17,2.9,0.02,-1.28,1.58
3. Industri Tekstil dan Pakaian Jadi,-1.34,-0.71,-0.54,-0.09,-0.09,1.59,1.07,-2.09,0.75,-0.09,-1.34,-0.07,-0.19,1.28,-0.09
"4. Industri Kulit, Barang dari Kulit dan Alas Kaki",9.27,8.97,9.12,8.36,8.36,-0.14,3.61,-1.49,4.21,8.36,9.27,8.69,9.42,6.22,8.36
"5. Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",3.17,3.11,2.85,1.74,1.74,3.2,-0.6,-3.75,-0.29,1.74,3.17,3.06,2.29,-1.55,1.74
6. Industri Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,-1.55,1.73,2.16,2.61,2.61,-1.32,7.53,-0.41,-1.61,2.61,-1.55,4.98,3.02,3.97,2.61
"7. Industri Kimia, Farmasi dan Obat Tradisional",-1.12,2.46,4.09,5.84,5.84,1.35,3.97,3.34,2.06,5.84,-1.12,6.16,7.33,11.14,5.84
"8. Industri Karet, Barang dari Karet dan Plastik",-4.18,-8.01,-9.31,-8.5,-8.5,-7.6,-0.33,-1.92,3.98,-8.5,-4.18,-11.56,-11.84,-6.08,-8.5
9. Industri Barang Galian bukan Logam,7.42,5.41,6.18,5.47,5.47,-2.16,1.14,4.27,0.25,5.47,7.42,3.49,7.69,3.44,5.47
10. Industri Logam Dasar,7.18,3.58,1.43,0.99,0.99,3.05,-3.54,-3.93,4.44,0.99,7.18,0.1,-2.86,-0.27,0.99
"11. Industri Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",8.09,5.04,5.3,4.33,4.33,-0.29,-1.57,3.47,0.03,4.33,8.09,2.12,5.8,1.57,4.33
12. Industri Mesin dan Perlengkapan,15.96,12.76,8.5,5.05,5.05,-0.76,1.3,-0.02,-4.99,5.05,15.96,9.76,0.93,-4.5,5.05
13. Industri Alat Angkutan,3.61,5.81,4.94,4.52,4.52,0.61,1.93,-0.37,1.11,4.52,3.61,8.06,3.25,3.29,4.52
14. Industri Furnitur,1.24,0.57,0.2,0.46,0.46,-0.07,4.17,-2.76,0.02,0.46,1.24,-0.06,-0.53,1.25,0.46
15. Industri Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,0.01,-1.66,-2.91,-3.04,-3.04,-1.48,0.8,-1.51,-1.28,-3.04,0.01,-3.26,-5.35,-3.44,-3.04
D. Pengadaan Listrik dan Gas,7.5,6.86,6.19,5.39,5.39,-1.98,3.2,-2.12,4.17,5.39,7.5,6.24,4.88,3.14,5.39
