period,Foreign_Reserves_Miliar_USD
2005-07-31,32.208.4
2005-08-31,31.180.3
2005-09-30,30.318.3
2005-10-31,32.646.1
2005-11-30,33.239.8
2005-12-31,34.723.7
2006-01-31,35.076.7
2006-02-28,35.525.1
2006-03-31,40.081.6
2006-04-30,42.811.6
2006-05-31,44.293.7
2006-06-30,40.107.1
2006-07-31,41.125.8
2006-08-31,41.995.4
2006-09-30,42.352.9
2006-10-31,39.895.4
2006-11-30,41.578.6
2006-12-31,42.586.3
2007-01-31,43.266.3
2007-02-28,45.690
2007-03-31,47.221.2
2007-04-30,49.309.4
2007-05-31,50.112.8
2007-06-30,50.924.4
2007-07-31,51.879.8
2007-08-31,51.426.4
2007-09-30,52.875
2007-10-31,54.154
2007-11-30,54.897
2007-12-31,56.920
2008-01-31,55.999
2008-02-29,57.125
2008-03-31,58.987
2008-04-30,58.770
2008-05-31,57.464
2008-06-30,59.453
2008-07-31,60.563
2008-08-31,58.356
2008-09-30,57.108
2008-10-31,50.580
2008-11-30,50.181.62
2008-12-31,51.639.32
2009-01-31,50.869.55
2009-02-28,50.564.33
2009-03-31,54.840.17
2009-04-30,56.565.91
2009-05-31,57.934.1
2009-06-30,57.576.02
2009-07-31,57.418.45
2009-08-31,57.943.04
2009-09-30,62.287.14
2009-10-31,64.528.45
2009-11-30,65.844.16
2009-12-31,66.104.9
2010-01-31,69.562.48
2010-02-28,69.730.61
2010-03-31,71.823.21
2010-04-30,78.582.76
2010-05-31,74.58729
2010-06-30,76.32125
2010-07-31,78.79408
2010-08-31,81.31721
2010-09-30,86.55064
2010-10-31,91.79863
2010-11-30,92.759
2010-12-31,96.207
2011-01-31,95.332
2011-02-28,99.619
2011-03-31,105.709
2011-04-30,113.814.19
2011-05-31,118.109
2011-06-30,119.655
2011-07-31,122.671
2011-08-31,124.638
2011-09-30,114.502
2011-10-31,113.962
2011-11-30,111.316
2011-12-31,110.123
2012-01-31,111.990
2012-02-29,112.220
2012-03-31,110.493
2012-04-30,116.413
2012-05-31,111.528
2012-06-30,106.502
2012-07-31,106.559
2012-08-31,108.990
2012-09-30,110.172
2012-10-31,110.297
2012-11-30,111.285
2012-12-31,112.781
2013-01-31,108.780
2013-02-28,105.183
2013-03-31,104.800
2013-04-30,107.269
2013-05-31,105.149
2013-06-30,98.095
2013-07-31,92.671
2013-08-31,92.997
2013-09-30,95.675
2013-10-31,96.996
2013-11-30,96.960
2013-12-31,99.387
2014-01-31,100.651
2014-02-28,102.741
2014-03-31,102.592
2014-04-30,105.563
2014-05-31,107.048
2014-06-30,107.678
2014-07-31,110.542
2014-08-31,111.224
2014-09-30,111.164
2014-10-31,111.973
2014-11-30,111.144
2014-12-31,111.862
2015-01-31,114.250
2015-02-28,115.527
2015-03-31,111.554
2015-04-30,110.867
2015-05-31,110.771
2015-06-30,108.030
2015-07-31,107.553
2015-08-31,105.346
2015-09-30,101.720
2015-10-31,100.712
2015-11-30,100.240
2015-12-31,105.931
2016-01-31,102.134
2016-02-29,104.544
2016-03-31,107.543
2016-04-30,107.711
2016-05-31,103.591
2016-06-30,109.789
2016-07-31,111.409
2016-08-31,113.538
2016-09-30,115.671
2016-10-31,115.037
2016-11-30,111.466
2016-12-31,116.362
2017-01-31,116.890
2017-02-28,119.863
2017-03-31,121.806
2017-04-30,123.249
2017-05-31,124.953
2017-06-30,123.094
2017-07-31,127.759
2017-08-31,128.787
2017-09-30,129.402
2017-10-31,126.547
2017-11-30,125.967
2017-12-31,130.196
2018-01-31,131.980
2018-02-28,128.059
2018-03-31,126.003
2018-04-30,124.862
2018-05-31,122.914
2018-06-30,119.839
2018-07-31,118.312
2018-08-31,117.927
2018-09-30,114.847.52
2018-10-31,115.163
2018-11-30,117.212
2018-12-31,120.654
2019-01-31,120.075
2019-02-28,123.274
2019-03-31,124.539
2019-04-30,124.294
2019-05-31,120.347
2019-06-30,123.823
2019-07-31,125.900
2019-08-31,126.441
2019-09-30,124.332
2019-10-31,126.694
2019-11-30,126.633
2019-12-31,129.183
2020-01-31,131.704
2020-02-29,130.444
2020-03-31,120.969
2020-04-30,127.880
2020-05-31,130.544
2020-06-30,131.718
2020-07-31,135.077
2020-08-31,137.041
2020-09-30,135.153
2020-10-31,133.663
2020-11-30,133.556
2020-12-31,135.897
2021-01-31,138.005
2021-02-28,138.787
2021-03-31,137.095
2021-04-30,138.799
2021-05-31,136.398
2021-06-30,137.093
2021-07-31,137.343
2021-08-31,144.784
2021-09-30,146.870
2021-10-31,145.461
2021-11-30,145.858
2021-12-31,144.905
2022-01-31,141.344
2022-02-28,141.435
2022-03-31,139.129
2022-04-30,135.659
2022-05-31,135.550
2022-06-30,136.379
2022-07-31,132.173
2022-08-31,132.202
2022-09-30,130.782
2022-10-31,130.197
2022-11-30,133.994
2022-12-31,137.233
2023-01-31,139.404
2023-02-28,140.311
2023-03-31,145.189
2023-04-30,144.167
2023-05-31,139.286
2023-06-30,137.541
2023-07-31,137.674
2023-08-31,137.090
2023-09-30,134.856
2023-10-31,133.140
2023-11-30,138.100
2023-12-31,146.384
2024-01-31,145.052
2024-02-29,144.040
2024-03-31,140.390
2024-04-30,136.218
2024-05-31,138.973
2024-06-30,140.177
2024-07-31,145.414
2024-08-31,150.243
2024-09-30,149.922
2024-10-31,151.233
2024-11-30,150.243
2024-12-31,155.719
2025-01-31,156.085
2025-02-28,154.509
2025-03-31,157.090
2025-04-30,152.467
2025-05-31,152.488
2025-06-30,152.567
2025-07-31,151.988
2025-08-31,150.708
2025-09-30,148.737
2025-10-31,149.933
2025-11-30,150.061
2025-12-31,156.471
2026-01-31,154.6
2026-02-28,151.9
2026-03-31,148.2
2026-04-30,146.2
2026-05-31,
