ID,Bulan,Tahun
1,7,2005
2,8,2005
3,9,2005
4,10,2005
5,11,2005
6,12,2005
7,1,2006
8,2,2006
9,3,2006
10,4,2006
11,5,2006
12,6,2006
13,7,2006
14,8,2006
15,9,2006
16,10,2006
17,11,2006
18,12,2006
19,1,2007
20,2,2007
21,3,2007
22,4,2007
23,5,2007
24,6,2007
25,7,2007
26,8,2007
27,9,2007
28,10,2007
29,11,2007
30,12,2007
31,1,2008
32,2,2008
33,3,2008
34,4,2008
35,5,2008
36,6,2008
37,7,2008
38,8,2008
39,9,2008
40,10,2008
41,11,2008
42,12,2008
43,1,2009
44,2,2009
45,3,2009
46,4,2009
47,5,2009
48,6,2009
49,7,2009
50,8,2009
51,9,2009
52,10,2009
53,11,2009
54,12,2009
55,1,2010
56,2,2010
57,3,2010
58,4,2010
59,5,2010
60,6,2010
61,7,2010
62,8,2010
63,9,2010
64,10,2010
65,11,2010
66,12,2010
67,1,2011
68,2,2011
69,3,2011
70,4,2011
71,5,2011
72,6,2011
73,7,2011
74,8,2011
75,9,2011
76,10,2011
77,11,2011
78,12,2011
79,1,2012
80,2,2012
81,3,2012
82,4,2012
83,5,2012
84,6,2012
85,7,2012
86,8,2012
87,9,2012
88,10,2012
89,11,2012
90,12,2012
91,1,2013
92,2,2013
93,3,2013
94,4,2013
95,5,2013
96,6,2013
97,7,2013
98,8,2013
99,9,2013
100,10,2013
101,11,2013
102,12,2013
103,1,2014
104,2,2014
105,3,2014
106,4,2014
107,5,2014
108,6,2014
109,7,2014
110,8,2014
111,9,2014
112,10,2014
113,11,2014
114,12,2014
115,1,2015
116,2,2015
117,3,2015
118,4,2015
119,5,2015
120,6,2015
121,7,2015
122,8,2015
123,9,2015
124,10,2015
125,11,2015
126,12,2015
127,1,2016
128,2,2016
129,3,2016
130,4,2016
131,5,2016
132,6,2016
133,7,2016
134,8,2016
135,9,2016
136,10,2016
137,11,2016
138,12,2016
139,1,2017
140,2,2017
141,3,2017
142,4,2017
143,5,2017
144,6,2017
145,7,2017
146,8,2017
147,9,2017
148,10,2017
149,11,2017
150,12,2017
151,1,2018
152,2,2018
153,3,2018
154,4,2018
155,5,2018
156,6,2018
157,7,2018
158,8,2018
159,9,2018
160,10,2018
161,11,2018
162,12,2018
163,1,2019
164,2,2019
165,3,2019
166,4,2019
167,5,2019
168,6,2019
169,7,2019
170,8,2019
171,9,2019
172,10,2019
173,11,2019
174,12,2019
175,1,2020
176,2,2020
177,3,2020
178,4,2020
179,5,2020
180,6,2020
181,7,2020
182,8,2020
183,9,2020
184,10,2020
185,11,2020
186,12,2020
187,1,2021
188,2,2021
189,3,2021
190,4,2021
191,5,2021
192,6,2021
193,7,2021
194,8,2021
195,9,2021
196,10,2021
197,11,2021
198,12,2021
199,1,2022
200,2,2022
201,3,2022
202,4,2022
203,5,2022
204,6,2022
205,7,2022
206,8,2022
207,9,2022
208,10,2022
209,11,2022
210,12,2022
211,1,2023
212,2,2023
213,3,2023
214,4,2023
215,5,2023
216,6,2023
217,7,2023
218,8,2023
219,9,2023
220,10,2023
221,11,2023
222,12,2023
223,1,2024
224,2,2024
225,3,2024
226,4,2024
227,5,2024
228,6,2024
229,7,2024
230,8,2024
231,9,2024
232,10,2024
233,11,2024
234,12,2024
235,1,2025
236,2,2025
237,3,2025
238,4,2025
239,5,2025
240,6,2025
241,7,2025
242,8,2025
243,9,2025
244,10,2025
245,11,2025
246,12,2025
247,1,2026
248,2,2026
249,3,2026
250,4,2026
251,5,2026
