period,IHSG_End_of_Month
2005-07-31,1182.2550048828125
2005-08-31,1050.049072265625
2005-09-30,1079.23291015625
2005-10-31,1066.1824951171875
2005-11-30,1096.5982666015625
2005-12-31,1162.5897216796875
2006-01-31,1232.273193359375
2006-02-28,1230.6160888671875
2006-03-31,1322.9224853515625
2006-04-30,1464.3489990234375
2006-05-31,1329.944091796875
2006-06-30,1310.2120361328125
2006-07-31,1351.596435546875
2006-08-31,1431.206298828125
2006-09-30,1534.5552978515625
2006-10-31,1582.564453125
2006-11-30,1718.8941650390625
2006-12-31,1805.45263671875
2007-01-31,1757.189697265625
2007-02-28,1740.9031982421875
2007-03-31,1830.8526611328125
2007-04-30,1999.0892333984375
2007-05-31,2084.242919921875
2007-06-30,2139.19482421875
2007-07-31,2348.58154296875
2007-08-31,2194.253662109375
2007-09-30,2359.1142578125
2007-10-31,2643.384033203125
2007-11-30,2688.227294921875
2007-12-31,2745.718994140625
2008-01-31,2627.148681640625
2008-02-29,2721.838134765625
2008-03-31,2447.203857421875
2008-04-30,2304.42626953125
2008-05-31,2444.254150390625
2008-06-30,2349.013427734375
2008-07-31,2304.418212890625
2008-08-31,2165.85888671875
2008-09-30,1846.01904296875
2008-10-31,1256.655029296875
2008-11-30,1241.49267578125
2008-12-31,1355.355224609375
2009-01-31,1332.6151123046875
2009-02-28,1285.4259033203125
2009-03-31,1434.01806640625
2009-04-30,1722.698974609375
2009-05-31,1916.7564697265625
2009-06-30,2026.701171875
2009-07-31,2323.1455078125
2009-08-31,2341.44580078125
2009-09-30,2467.4951171875
2009-10-31,2367.608642578125
2009-11-30,2415.742919921875
2009-12-31,2534.25732421875
2010-01-31,2610.6943359375
2010-02-28,2548.933837890625
2010-03-31,2777.19287109375
2010-04-30,2971.136474609375
2010-05-31,2796.84814453125
2010-06-30,2913.57080078125
2010-07-31,3069.16064453125
2010-08-31,3081.763916015625
2010-09-30,3501.159912109375
2010-10-31,3635.182373046875
2010-11-30,3531.073486328125
2010-12-31,3703.367919921875
2011-01-31,3409.034423828125
2011-02-28,3470.212890625
2011-03-31,3678.531005859375
2011-04-30,3819.46923828125
2011-05-31,3836.81787109375
2011-06-30,3888.417724609375
2011-07-31,4130.63916015625
2011-08-31,3841.58154296875
2011-09-30,3548.893798828125
2011-10-31,3790.699462890625
2011-11-30,3714.935302734375
2011-12-31,3821.84326171875
2012-01-31,3941.539794921875
2012-02-29,3985.054931640625
2012-03-31,4121.39013671875
2012-04-30,4180.5693359375
2012-05-31,3832.6748046875
2012-06-30,3955.4228515625
2012-07-31,4142.17578125
2012-08-31,4060.1728515625
2012-09-30,4262.39501953125
2012-10-31,4350.12158203125
2012-11-30,4275.974609375
2012-12-31,4316.5185546875
2013-01-31,4453.52978515625
2013-02-28,4795.60205078125
2013-03-31,4940.7939453125
2013-04-30,5033.875
2013-05-31,5068.4306640625
2013-06-30,4818.70751953125
2013-07-31,4610.197265625
2013-08-31,4194.92578125
2013-09-30,4316.00732421875
2013-10-31,4510.45556640625
2013-11-30,4256.2705078125
2013-12-31,4274.01025390625
2014-01-31,4418.58447265625
2014-02-28,4620.0361328125
2014-03-31,4768.09130859375
2014-04-30,4839.95751953125
2014-05-31,4893.7177734375
2014-06-30,4878.39208984375
2014-07-31,5088.60400390625
2014-08-31,5136.66259765625
2014-09-30,5137.37890625
2014-10-31,5089.34912109375
2014-11-30,5149.68798828125
2014-12-31,5226.7431640625
2015-01-31,5289.19775390625
2015-02-28,5450.08203125
2015-03-31,5518.4599609375
2015-04-30,5086.22705078125
2015-05-31,5216.17578125
2015-06-30,4910.466796875
2015-07-31,4802.341796875
2015-08-31,4509.431640625
2015-09-30,4223.744140625
2015-10-31,4455.0068359375
2015-11-30,4446.28515625
2015-12-31,4592.8291015625
2016-01-31,4614.9833984375
2016-02-29,4770.7705078125
2016-03-31,4845.18212890625
2016-04-30,4838.39453125
2016-05-31,4796.68212890625
2016-06-30,5016.4521484375
2016-07-31,5215.791015625
2016-08-31,5385.87255859375
2016-09-30,5364.59521484375
2016-10-31,5422.5419921875
2016-11-30,5148.91015625
2016-12-31,5296.7109375
2017-01-31,5294.10302734375
2017-02-28,5386.69189453125
2017-03-31,5568.10595703125
2017-04-30,5685.2978515625
2017-05-31,5738.15478515625
2017-06-30,5829.7080078125
2017-07-31,5840.93896484375
2017-08-31,5864.05908203125
2017-09-30,5900.85400390625
2017-10-31,6005.7841796875
2017-11-30,5952.13818359375
2017-12-31,6355.65380859375
2018-01-31,6605.630859375
2018-02-28,6597.2177734375
2018-03-31,6188.98681640625
2018-04-30,5994.59521484375
2018-05-31,5983.5869140625
2018-06-30,5799.23681640625
2018-07-31,5936.44287109375
2018-08-31,6018.4599609375
2018-09-30,5976.55322265625
2018-10-31,5831.64990234375
2018-11-30,6056.1240234375
2018-12-31,6194.498046875
2019-01-31,6532.96923828125
2019-02-28,6443.34814453125
2019-03-31,6468.7548828125
2019-04-30,6455.35205078125
2019-05-31,6209.1171875
2019-06-30,6358.62890625
2019-07-31,6390.5048828125
2019-08-31,6328.47021484375
2019-09-30,6169.10205078125
2019-10-31,6228.31689453125
2019-11-30,6011.830078125
2019-12-31,6299.5390625
2020-01-31,5940.0478515625
2020-02-29,5452.7041015625
2020-03-31,4538.93017578125
2020-04-30,4716.40283203125
2020-05-31,4753.61181640625
2020-06-30,4905.39208984375
2020-07-31,5149.626953125
2020-08-31,5238.48681640625
2020-09-30,4870.0390625
2020-10-31,5128.22509765625
2020-11-30,5612.4150390625
2020-12-31,5979.0732421875
2021-01-31,5862.35205078125
2021-02-28,6241.7958984375
2021-03-31,5985.52197265625
2021-04-30,5995.6162109375
2021-05-31,5947.462890625
2021-06-30,5985.48876953125
2021-07-31,6070.0390625
2021-08-31,6150.298828125
2021-09-30,6286.94287109375
2021-10-31,6591.34619140625
2021-11-30,6533.93212890625
2021-12-31,6581.48193359375
2022-01-31,6631.15087890625
2022-02-28,6888.1708984375
2022-03-31,7071.44189453125
2022-04-30,7228.9140625
2022-05-31,7148.97021484375
2022-06-30,6911.58203125
2022-07-31,6951.123046875
2022-08-31,7178.58984375
2022-09-30,7040.7978515625
2022-10-31,7098.89013671875
2022-11-30,7081.31298828125
2022-12-31,6850.619140625
2023-01-31,6839.341796875
2023-02-28,6843.23876953125
2023-03-31,6805.27685546875
2023-04-30,6915.7158203125
2023-05-31,6633.26123046875
2023-06-30,6661.87890625
2023-07-31,6931.35888671875
2023-08-31,6953.259765625
2023-09-30,6939.89208984375
2023-10-31,6752.2109375
2023-11-30,7080.7412109375
2023-12-31,7272.796875
2024-01-31,7207.94091796875
2024-02-29,7316.11083984375
2024-03-31,7288.81298828125
2024-04-30,7234.19677734375
2024-05-31,6970.73583984375
2024-06-30,7063.5771484375
2024-07-31,7255.76220703125
2024-08-31,7670.73291015625
2024-09-30,7527.92919921875
2024-10-31,7574.01904296875
2024-11-30,7114.26611328125
2024-12-31,7079.90478515625
2025-01-31,7109.19580078125
2025-02-28,6270.59716796875
2025-03-31,6510.6201171875
2025-04-30,6766.794921875
2025-05-31,7175.81884765625
2025-06-30,6927.67919921875
2025-07-31,7484.3369140625
2025-08-31,7830.4931640625
2025-09-30,8061.06201171875
2025-10-31,8163.875
2025-11-30,8508.7060546875
2025-12-31,8646.9384765625
2026-01-31,8329.606445
2026-02-28,8235.485352
2026-03-31,7048.222168
2026-04-30,6956.804199
2026-05-31,6127.380859
