period,Inflation_YoY_Pct
2005-07-31,7.84
2005-08-31,8.33
2005-09-30,9.06
2005-10-31,17.89
2005-11-30,18.38
2005-12-31,17.11
2006-01-31,17.03
2006-02-28,17.92
2006-03-31,15.74
2006-04-30,15.4
2006-05-31,15.6
2006-06-30,15.53
2006-07-31,15.15
2006-08-31,14.9
2006-09-30,14.55
2006-10-31,6.29
2006-11-30,5.27
2006-12-31,6.6
2007-01-31,6.26
2007-02-28,6.3
2007-03-31,6.52
2007-04-30,6.29
2007-05-31,6.01
2007-06-30,5.77
2007-07-31,6.06
2007-08-31,6.51
2007-09-30,6.95
2007-10-31,6.88
2007-11-30,6.71
2007-12-31,6.59
2008-01-31,7.36
2008-02-28,7.4
2008-03-31,8.17
2008-04-30,8.96
2008-05-31,10.38
2008-06-30,11.03
2008-07-31,11.9
2008-08-31,11.85
2008-09-30,12.14
2008-10-31,11.77
2008-11-30,11.68
2008-12-31,11.06
2009-01-31,9.17
2009-02-28,8.6
2009-03-31,7.92
2009-04-30,7.31
2009-05-31,6.04
2009-06-30,3.65
2009-07-31,2.71
2009-08-31,2.75
2009-09-30,2.83
2009-10-31,2.57
2009-11-30,2.41
2009-12-31,2.78
2010-01-31,3.72
2010-02-28,3.81
2010-03-31,3.43
2010-04-30,3.91
2010-05-31,4.16
2010-06-30,5.05
2010-07-31,6.22
2010-08-31,6.44
2010-09-30,5.8
2010-10-31,5.67
2010-11-30,6.33
2010-12-31,6.96
2011-01-31,7.02
2011-02-28,6.84
2011-03-31,6.65
2011-04-30,6.16
2011-05-31,5.98
2011-06-30,5.54
2011-07-31,4.61
2011-08-31,4.79
2011-09-30,4.61
2011-10-31,4.42
2011-11-30,4.15
2011-12-31,3.79
2012-01-31,3.65
2012-02-29,3.56
2012-03-31,3.97
2012-04-30,4.5
2012-05-31,4.45
2012-06-30,4.53
2012-07-31,4.56
2012-08-31,4.58
2012-09-30,4.31
2012-10-31,4.61
2012-11-30,4.32
2012-12-31,4.3
2013-01-31,4.57
2013-02-28,5.31
2013-03-31,5.9
2013-04-30,5.57
2013-05-31,5.47
2013-06-30,5.9
2013-07-31,8.61
2013-08-31,8.79
2013-09-30,8.4
2013-10-31,8.32
2013-11-30,8.37
2013-12-31,8.38
2014-01-31,8.22
2014-02-28,7.75
2014-03-31,7.32
2014-04-30,7.25
2014-05-31,7.32
2014-06-30,6.7
2014-07-31,4.53
2014-08-31,3.99
2014-09-30,4.53
2014-10-31,4.83
2014-11-30,6.23
2014-12-31,8.36
2015-01-31,6.96
2015-02-28,6.29
2015-03-31,6.38
2015-04-30,6.79
2015-05-31,7.15
2015-06-30,7.26
2015-07-31,7.26
2015-08-31,7.18
2015-09-30,6.83
2015-10-31,6.25
2015-11-30,4.89
2015-12-31,3.35
2016-01-31,4.14
2016-02-29,4.42
2016-03-31,4.45
2016-04-30,3.6
2016-05-31,3.33
2016-06-30,3.45
2016-07-31,3.21
2016-08-31,2.79
2016-09-30,3.07
2016-10-31,3.31
2016-11-30,3.58
2016-12-31,3.02
2017-01-31,3.49
2017-02-28,3.83
2017-03-31,3.61
2017-04-30,4.17
2017-05-31,4.33
2017-06-30,4.37
2017-07-31,3.88
2017-08-31,3.82
2017-09-30,3.72
2017-10-31,3.58
2017-11-30,3.3
2017-12-31,3.61
2018-01-31,3.25
2018-02-28,3.18
2018-03-31,3.4
2018-04-30,3.41
2018-05-31,3.23
2018-06-30,3.12
2018-07-31,3.18
2018-08-31,3.2
2018-09-30,2.88
2018-10-31,3.16
2018-11-30,3.23
2018-12-31,3.13
2019-01-31,2.82
2019-02-28,2.57
2019-03-31,2.48
2019-04-30,2.83
2019-05-31,3.32
2019-06-30,3.28
2019-07-31,3.32
2019-08-31,3.49
2019-09-30,3.39
2019-10-31,3.13
2019-11-30,3.0
2019-12-31,2.72
2020-01-31,2.68
2020-02-29,2.98
2020-03-31,2.96
2020-04-30,2.67
2020-05-31,2.19
2020-06-30,1.96
2020-07-31,1.54
2020-08-31,1.32
2020-09-30,1.42
2020-10-31,1.44
2020-11-30,1.59
2020-12-31,1.68
2021-01-31,1.55
2021-02-28,1.38
2021-03-31,1.37
2021-04-30,1.42
2021-05-31,1.68
2021-06-30,1.33
2021-07-31,1.52
2021-08-31,1.59
2021-09-30,1.6
2021-10-31,1.66
2021-11-30,1.75
2021-12-31,1.87
2022-01-31,2.18
2022-02-28,2.06
2022-03-31,2.64
2022-04-30,3.47
2022-05-31,3.55
2022-06-30,4.35
2022-07-31,4.94
2022-08-31,4.69
2022-09-30,5.95
2022-10-31,5.71
2022-11-30,5.42
2022-12-31,5.51
2023-01-31,5.28
2023-02-28,5.47
2023-03-31,4.97
2023-04-30,4.33
2023-05-31,4.0
2023-06-30,3.52
2023-07-31,3.08
2023-08-31,3.27
2023-09-30,2.28
2023-10-31,2.56
2023-11-30,2.86
2023-12-31,2.61
2024-01-31,2.57
2024-02-29,2.75
2024-03-31,3.05
2024-04-30,3.0
2024-05-31,2.84
2024-06-30,2.51
2024-07-31,2.13
2024-08-31,2.12
2024-09-30,1.84
2024-10-31,1.71
2024-11-30,1.55
2024-12-31,1.57
2025-01-31,0.76
2025-02-28,-0.09
2025-03-31,1.03
2025-04-30,1.95
2025-05-31,1.6
2025-06-30,1.87
2025-07-31,2.37
2025-08-31,2.31
2025-09-30,2.65
2025-10-31,2.86
2025-11-30,2.72
2025-12-31,2.92
2026-01-31,3.55
2026-02-28,4.76
2026-03-31,3.48
2026-04-30,2.42
2026-05-31,3.08
