period,M2_Triliun_Rp
2005-07-31,1092.20612881178
2005-08-31,1119.10156752195
2005-09-30,1154.05293265434
2005-10-31,1168.8421270966
2005-11-30,1169.0853542588
2005-12-31,1202.7622483754
2006-01-31,1194.93932257017
2006-02-28,1197.77222567714
2006-03-31,1198.7476578076
2006-04-30,1197.12188592766
2006-05-31,1241.86450968823
2006-06-30,1257.7846287336
2006-07-31,1252.81551198403
2006-08-31,1274.0841207868
2006-09-30,1294.74446667782
2006-10-31,1329.42542523833
2006-11-30,1341.93976606286
2006-12-31,1382.49328136562
2007-01-31,1367.95693108382
2007-02-28,1369.2427068083
2007-03-31,1379.23722735843
2007-04-30,1385.71483941647
2007-05-31,1396.06740699678
2007-06-30,1454.57721320268
2007-07-31,1474.76882262888
2007-08-31,1493.04972686604
2007-09-30,1516.88434292349
2007-10-31,1533.84566011168
2007-11-30,1559.56959393336
2007-12-31,1649.6617810711
2008-01-31,1596.56451500924
2008-02-29,1603.75036866081
2008-03-31,1594.38966623205
2008-04-30,1611.69056840702
2008-05-31,1641.73296743386
2008-06-30,1703.38140759157
2008-07-31,1686.05029932132
2008-08-31,1682.8114456
2008-09-30,1778.13888
2008-10-31,1812.49012798531
2008-11-30,1851.02339978414
2008-12-31,1895.83862001698
2009-01-31,1874.14534821606
2009-02-28,1900.20842908531
2009-03-31,1916.75245917868
2009-04-30,1912.62305984763
2009-05-31,1927.06963156878
2009-06-30,1977.53252868367
2009-07-31,1960.95015781968
2009-08-31,1995.29426595951
2009-09-30,2018.0310619633
2009-10-31,2021.5174051343
2009-11-30,2032.30457218474
2009-12-31,2141.38377898218
2010-01-31,2066.48099
2010-02-28,2112.0827000000004
2010-03-31,2116.02354
2010-04-30,2143.23405
2010-05-31,2231.14433
2010-06-30,2217.58881
2010-07-31,2236.4594500000003
2010-08-31,2274.95457
2010-09-30,2308.8459700000003
2010-10-31,2347.8068599999997
2010-11-30,2471.20579
2010-12-31,2877.2195699999997
2011-01-31,2436.67895
2011-02-28,2420.19114
2011-03-31,2451.3569199999997
2011-04-30,2434.47839
2011-05-31,2475.28598
2011-06-30,2522.78381
2011-07-31,2564.55613
2011-08-31,2621.34574
2011-09-30,2643.33145
2011-10-31,2677.20502
2011-11-30,2729.53827
2011-12-31,2877.2195699999997
2012-01-31,2854.9782099999998
2012-02-29,2849.7955
2012-03-31,2911.9199399999998
2012-04-30,2927.25939
2012-05-31,2992.05703
2012-06-30,3050.35488
2012-07-31,3054.83646
2012-08-31,3089.0112000000004
2012-09-30,3125.53338
2012-10-31,3161.7256
2012-11-30,3205.12912
2012-12-31,3304.64462
2013-01-31,3268.78915
2013-02-28,3280.42025
2013-03-31,3322.52896
2013-04-30,3360.92807
2013-05-31,3426.30492
2013-06-30,3413.3786600000003
2013-07-31,3506.5736
2013-08-31,3502.4197999999997
2013-09-30,3584.08054
2013-10-31,3576.86935
2013-11-30,3615.97296
2013-12-31,3730.19702
2014-01-31,3652.34928
2014-02-28,3643.05946
2014-03-31,3660.60598
2014-04-30,3730.37645
2014-05-31,3789.27864
2014-06-30,3865.89061
2014-07-31,3895.9812
2014-08-31,3895.37436
2014-09-30,4010.1466600000003
2014-10-31,4024.48887
2014-11-30,4076.66988
2014-12-31,4173.3265
2015-01-31,4174.8259100000005
2015-02-28,4218.12276
2015-03-31,4246.3611900000005
2015-04-30,4275.71111
2015-05-31,4288.3692599999995
2015-06-30,4358.801509999999
2015-07-31,4373.2081
2015-08-31,4404.08503
2015-09-30,4508.60317
2015-10-31,4443.07808
2015-11-30,4452.3246500000005
2015-12-31,4548.80027
2016-01-31,4498.36128
2016-02-29,4521.9512
2016-03-31,4561.87252
2016-04-30,4581.87787
2016-05-31,4614.06182
2016-06-30,4737.451230000001
2016-07-31,4730.37968
2016-08-31,4746.02668
2016-09-30,4737.63076
2016-10-31,4778.478889999999
2016-11-30,4868.65116
2016-12-31,5004.97679
2017-01-31,4936.88199
2017-02-28,4942.91976
2017-03-31,5017.64355
2017-04-30,5033.78029
2017-05-31,5125.38379
2017-06-30,5225.16576
2017-07-31,5178.07875
2017-08-31,5219.6476299999995
2017-09-30,5254.13851
2017-10-31,5284.32016
2017-11-30,5321.431769999999
2017-12-31,5419.16505
2018-01-31,5351.68467
2018-02-28,5351.65033
2018-03-31,5395.82604
2018-04-30,5409.088809999999
2018-05-31,5435.08293
2018-06-30,5534.14983
2018-07-31,5507.79175
2018-08-31,5529.45181
2018-09-30,5606.77989
2018-10-31,5667.5121
2018-11-30,5670.975240000001
2018-12-31,5760.0462
2019-01-31,5644.985
2019-02-28,5670.778
2019-03-31,5747.247
2019-04-30,5746.732
2019-05-31,5860.509
2019-06-30,5908.509
2019-07-31,5941.133
2019-08-31,5934.562
2019-09-30,6134.178
2019-10-31,6026.908
2019-11-30,6074.377
2019-12-31,6136.552
2020-01-31,6046.651
2020-02-29,6116.495
2020-03-31,6440.45739
2020-04-30,6238.267
2020-05-31,6468.1935
2020-06-30,6393.7438
2020-07-31,6567.72502
2020-08-31,6726.13525
2020-09-30,6748.574030000001
2020-10-31,6780.84454
2020-11-30,6817.456679999999
2020-12-31,6900.04949
2021-01-31,6767.40765
2021-02-28,6817.78791
2021-03-31,6895.56412
2021-04-30,6964.38649
2021-05-31,7004.09308
2021-06-30,7130.06142
2021-07-31,7160.56033
2021-08-31,7211.50072
2021-09-30,7300.920639999999
2021-10-31,7491.70438
2021-11-30,7573.3199
2021-12-31,7870.45285
2022-01-31,7646.78919
2022-02-28,7690.1345
2022-03-31,7810.949320000001
2022-04-30,7911.48449
2022-05-31,7854.18671
2022-06-30,7890.74701
2022-07-31,7845.55191
2022-08-31,7897.62821
2022-09-30,7962.69336
2022-10-31,8223.05502
2022-11-30,8297.34951
2022-12-31,8528.02231
2023-01-31,8271.838099999999
2023-02-28,8300.64837
2023-03-31,8293.283230000001
2023-04-30,8352.34968
2023-05-31,8336.17079
2023-06-30,8372.99032
2023-07-31,8349.492320000001
2023-08-31,8364.739
2023-09-30,8441.236439999999
2023-10-31,8506.54406
2023-11-30,8574.917099999999
2023-12-31,8826.531
2024-01-31,8721.94969
2024-02-29,8739.574289999999
2024-03-31,8891.42462
2024-04-30,8926.46556
2024-05-31,8968.821109999999
2024-06-30,9015.35505
2024-07-31,8983.38335
2024-08-31,8975.511859999999
2024-09-30,9047.9987
2024-10-31,9082.75511
2024-11-30,9175.75066
2024-12-31,9210.81572
2025-01-31,9198.35234
2025-02-28,9281.07929
2025-03-31,9436.700449999998
2025-04-30,9387.89519
2025-05-31,9404.29989
2025-06-30,9595.2536
2025-07-31,9574.89328
2025-08-31,9654.34748
2025-09-30,9773.40997
2025-10-31,9783.069710000002
2025-11-30,9891.575050000001
