period,USD_IDR_Monthly_Avg
2005-07-31,9795.447591145834
2005-08-31,9963.821713654892
2005-09-30,10232.545454545454
2005-10-31,10074.380952380952
2005-11-30,10022.90909090909
2005-12-31,9846.781782670454
2006-01-31,9450.99551669034
2006-02-28,9247.7
2006-03-31,9142.069675611414
2006-04-30,8913.32998046875
2006-05-31,9016.22609544837
2006-06-30,9325.1181640625
2006-07-31,9071.509579613095
2006-08-31,9088.426078464674
2006-09-30,9138.385695684523
2006-10-31,9170.92715731534
2006-11-30,9128.413751775568
2006-12-31,9074.257161458334
2007-01-31,9053.317467730978
2007-02-28,9057.580029296874
2007-03-31,9153.977272727272
2007-04-30,9087.509533110118
2007-05-31,8836.891304347826
2007-06-30,8981.252371651786
2007-07-31,9055.931818181818
2007-08-31,9355.35202955163
2007-09-30,9282.752672697368
2007-10-31,9084.930409307066
2007-11-30,9231.304734002977
2007-12-31,9342.4
2008-01-31,9402.400050951086
2008-02-29,9174.34291294643
2008-03-31,9146.780924479166
2008-04-30,9201.518973214286
2008-05-31,9269.371372767857
2008-06-30,9289.79041108631
2008-07-31,9151.936301491478
2008-08-31,9207.85009765625
2008-09-30,9375.859153053978
2008-10-31,9962.378311820652
2008-11-30,11685.8
2008-12-31,11276.869565217392
2009-01-31,11111.045454545454
2009-02-28,11827.55
2009-03-31,11833.545454545454
2009-04-30,11047.136363636364
2009-05-31,10338.0
2009-06-30,10179.522727272728
2009-07-31,10081.063051970108
2009-08-31,9951.561941964286
2009-09-30,9821.072709517046
2009-10-31,9458.431862571022
2009-11-30,9431.404715401786
2009-12-31,9518.732634171196
2010-01-31,9254.904761904761
2010-02-28,9353.15
2010-03-31,9144.617484714674
2010-04-30,9029.45458984375
2010-05-31,9194.44763764881
2010-06-30,9147.522682883522
2010-07-31,9019.345392400568
2010-08-31,8919.81582919034
2010-09-30,8972.595569957386
2010-10-31,8910.12853422619
2010-11-30,8523.568697842684
2010-12-31,9000.713145380434
2011-01-31,8989.61193266369
2011-02-28,8865.700048828125
2011-03-31,8739.630519701086
2011-04-30,8637.030078125
2011-05-31,8541.75235262784
2011-06-30,8551.227317116478
2011-07-31,8523.476236979166
2011-08-31,8478.382642663044
2011-09-30,8695.25692471591
2011-10-31,8826.442894345239
2011-11-30,8975.89786044034
2011-12-31,9043.009144176136
2012-01-31,9050.613636363636
2012-02-29,8594.404761904761
2012-03-31,9125.111372514204
2012-04-30,9143.085751488095
2012-05-31,9210.11086107337
2012-06-30,9381.326218377977
2012-07-31,9407.525035511364
2012-08-31,9461.413001019022
2012-09-30,9524.592529296875
2012-10-31,9561.4130859375
2012-11-30,9579.440962357954
2012-12-31,9607.8224609375
2013-01-31,9630.395635190218
2013-02-28,9649.655029296875
2013-03-31,9668.426199776786
2013-04-30,9687.313742897728
2013-05-31,9721.106530230978
2013-06-30,9799.567529296875
2013-07-31,9986.550059442934
2013-08-31,10500.09090909091
2013-09-30,11263.761904761905
2013-10-31,11210.56591796875
2013-11-30,11162.800037202382
2013-12-31,11590.970481178978
2014-01-31,12035.478260869566
2014-02-28,11834.6
2014-03-31,11425.952380952382
2014-04-30,11421.09090909091
2014-05-31,11507.045454545454
2014-06-30,11879.190476190477
2014-07-31,11666.130434782608
2014-08-31,11709.619047619048
2014-09-30,11874.0
2014-10-31,12133.173913043478
2014-11-30,12146.9
2014-12-31,12422.739130434782
2015-01-31,12527.772727272728
2015-02-28,12735.15
2015-03-31,13034.045454545454
2015-04-30,12938.136363636364
2015-05-31,13082.761904761905
2015-06-30,13282.5
2015-07-31,13351.608695652174
2015-08-31,13690.0
2015-09-30,14343.954545454546
2015-10-31,13761.0
2015-11-30,13612.095238095239
2015-12-31,13813.521739130434
2016-01-31,13840.714285714286
2016-02-29,13499.952380952382
2016-03-31,13122.95652173913
2016-04-30,13147.952380952382
2016-05-31,13395.454545454546
2016-06-30,13334.272727272728
2016-07-31,13101.619047619048
2016-08-31,13145.391304347826
2016-09-30,13114.045454545454
2016-10-31,13015.238095238095
2016-11-30,13317.045454545454
2016-12-31,13414.545454545454
2017-01-31,13352.227272727272
2017-02-28,13330.6
2017-03-31,13332.391304347826
2017-04-30,13290.65
2017-05-31,13317.130434782608
2017-06-30,13294.772727272728
2017-07-31,13332.8
2017-08-31,13332.173913043478
2017-09-30,13300.666666666666
2017-10-31,13517.90909090909
2017-11-30,13515.52380952381
2017-12-31,13548.0
2018-01-31,13384.739130434782
2018-02-28,13579.65
2018-03-31,13749.045454545454
2018-04-30,13799.361886160714
2018-05-31,14071.204313858696
2018-06-30,13988.733351934523
2018-07-31,14407.45907315341
2018-08-31,14551.126061480978
2018-09-30,14864.539990234374
2018-10-31,15215.069548233696
2018-11-30,14706.372736150568
2018-12-31,14525.519019717261
2019-01-31,14182.652216372282
2019-02-28,14027.035009765625
2019-03-31,14213.799990699405
2019-04-30,14145.931818181818
2019-05-31,14387.613636363636
2019-06-30,14248.325
2019-07-31,14073.09132982337
2019-08-31,14256.91357421875
2019-09-30,14131.795200892857
2019-10-31,14135.517408288044
2019-11-30,14019.369419642857
2019-12-31,13989.823109019886
2020-01-31,13679.382218070652
2020-02-29,13758.868310546875
2020-03-31,15119.265092329546
2020-04-30,15782.95166015625
2020-05-31,14885.244233630952
2020-06-30,14184.576216264204
2020-07-31,14516.47066066576
2020-08-31,14641.914109002977
2020-09-30,14803.13370028409
2020-10-31,14717.467151988636
2020-11-30,14187.21763392857
2020-12-31,14101.688688858696
2021-01-31,14015.51939174107
2021-02-28,13999.608935546876
2021-03-31,14379.493248980978
2021-04-30,14561.077281605114
2021-05-31,14333.952334449405
2021-06-30,14364.231800426136
2021-07-31,14543.386363636364
2021-08-31,14406.072709517046
2021-09-30,14270.022771661932
2021-10-31,14194.085704985118
2021-11-30,14285.522771661932
2021-12-31,14323.856572690218
2022-01-31,14339.842866443452
2022-02-28,14352.955029296874
2022-03-31,14343.604364809782
2022-04-30,14382.047665550595
2022-05-31,14571.081809303978
