model,varian,RMSE_test,Theil_U2,RMSE_change,U2_change,hit_change,hit_all,exact_hit,DM_stat,DM_p_value,delta_RMSE
BiLSTM,Konfigurasi penuh,0.14626941156698303,1.1701552925358643,0.1621459379124496,0.6485837516497984,0.6666666666666666,0.6388888888888888,0.6388888888888888,0.8987602484180047,0.3749221837587533,0.0
BiLSTM,Tanpa pembulatan ke grid kebijakan,0.14626941156698303,1.1701552925358643,0.1621459379124496,0.6485837516497984,0.6666666666666666,0.6388888888888888,0.0,0.8987602484180047,0.3749221837587533,0.0
BiLSTM,Tanpa ensembel (1 seed),0.1524568105552794,1.2196544844422352,0.16721205006012685,0.6688482002405074,0.7777777777777778,0.6666666666666666,0.6666666666666666,1.1314733724150576,0.26554913839394834,0.006187398988296372
BiLSTM,Tanpa jangkar residual,0.4876164820624148,3.9009318564993185,0.4546668957021919,1.8186675828087675,0.7777777777777778,0.3055555555555556,0.19444444444444445,3.681012293762397,0.0007769412351890104,0.3413470704954318
LSTM,Konfigurasi penuh,0.16198860207755122,1.2959088166204098,0.17864635490397868,0.7145854196159147,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.6051254224667966,0.11745277226152284,0.0
LSTM,Tanpa pembulatan ke grid kebijakan,0.16198860207755122,1.2959088166204098,0.17864635490397868,0.7145854196159147,0.6666666666666666,0.4444444444444444,0.0,1.6051254224667966,0.11745277226152284,0.0
LSTM,Tanpa ensembel (1 seed),0.15697577004316646,1.2558061603453317,0.20487167713816404,0.8194867085526562,0.1111111111111111,0.5277777777777778,0.5277777777777778,1.6223698246784373,0.11369898871853223,-0.005012832034384768
LSTM,Tanpa jangkar residual,0.33312612614095793,2.6650090091276635,0.26823823616614706,1.0729529446645882,0.5555555555555556,0.16666666666666666,0.08333333333333333,5.9843261371480825,8.096820915959313e-07,0.1711375240634067
RF,Konfigurasi penuh,0.14337659095244154,1.1470127276195323,0.21408566967954687,0.8563426787181875,0.3333333333333333,0.5555555555555556,0.5555555555555556,1.010256621620493,0.31930589999843173,0.0
RF,Tanpa pembulatan ke grid kebijakan,0.14337659095244154,1.1470127276195323,0.21408566967954687,0.8563426787181875,0.3333333333333333,0.5555555555555556,0.0,1.010256621620493,0.31930589999843173,0.0
XGBoost,Konfigurasi penuh,0.2206925485654917,1.7655403885239336,0.24104613409042827,0.9641845363617131,0.6666666666666666,0.4166666666666667,0.3611111111111111,3.085184241261307,0.003959314195024266,0.0
XGBoost,Tanpa pembulatan ke grid kebijakan,0.2206925485654917,1.7655403885239336,0.24104613409042827,0.9641845363617131,0.6666666666666666,0.4166666666666667,0.0,3.085184241261307,0.003959314195024266,0.0
