model,varian,n_fitur,n_dibuang,RMSE_test,Theil_U2,RMSE_change,U2_change,hit_change,hit_all,exact_hit,DM_stat,DM_p_value,delta_RMSE
RF,Konfigurasi penuh,17,0,0.14337659095244135,1.1470127276195308,0.21408566967954673,0.8563426787181869,0.3333333333333333,0.5555555555555556,0.5555555555555556,1.0102566216204851,0.3193058999984353,0.0
RF,Tanpa BI-Rate $t-1$,16,1,0.4086639930788807,3.2693119446310455,0.39593273619074115,1.5837309447629646,0.6666666666666666,0.4444444444444444,0.3611111111111111,3.745472947550349,0.0006474511777232461,0.2652874021264393
RF,Tanpa seluruh lag BI-Rate,14,3,0.3940824085252659,3.152659268202127,0.5240122916259927,2.096049166503971,0.2222222222222222,0.25,0.2222222222222222,3.3200237013180076,0.0021119007121730426,0.2507058175728245
RF,Tanpa fitur turunan reaksi kebijakan,10,7,0.13950084853249123,1.1160067882599298,0.21282917983737126,0.851316719349485,0.2222222222222222,0.6111111111111112,0.6111111111111112,0.8034187364434293,0.4271555935024942,-0.003875742419950118
RF,Tanpa indikator makro mentah,10,7,0.12722547273615625,1.01780378188925,0.21758912845366024,0.870356513814641,0.1111111111111111,0.6944444444444444,0.6944444444444444,0.2039965237783309,0.8395377619126279,-0.016151118216285093
RF,Hanya lag BI-Rate,3,14,0.1173655532062245,0.938924425649796,0.22497031439567203,0.8998812575826881,0.0,0.75,0.75,-0.9684635913352578,0.3394580185736915,-0.026011037746216853
BiLSTM,Konfigurasi penuh,17,0,0.14626941156698303,1.1701552925358643,0.1621459379124496,0.6485837516497984,0.6666666666666666,0.6388888888888888,0.6388888888888888,0.8987602484180047,0.3749221837587533,0.0
BiLSTM,Tanpa BI-Rate $t-1$,16,1,0.1377689674687824,1.1021517397502592,0.16175492044504045,0.6470196817801618,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5923216286423731,0.5574427779608992,-0.008500444098200638
BiLSTM,Tanpa seluruh lag BI-Rate,14,3,0.15602543330607582,1.2482034664486066,0.18171057337004182,0.7268422934801673,0.2222222222222222,0.5,0.4722222222222222,1.579884153963686,0.12312969477705082,0.00975602173909279
BiLSTM,Tanpa fitur turunan reaksi kebijakan,10,7,0.12204009193686988,0.976320735494959,0.17260971217374488,0.6904388486949795,0.3333333333333333,0.6388888888888888,0.6388888888888888,-0.16920326911107467,0.8666109033427869,-0.024229319630113155
BiLSTM,Tanpa indikator makro mentah,10,7,0.15080900434919312,1.206472034793545,0.1650909037248902,0.6603636148995607,0.4444444444444444,0.6666666666666666,0.6666666666666666,1.0420002105520538,0.30455600388737314,0.0045395927822100834
BiLSTM,Hanya lag BI-Rate,3,14,0.11720266952388446,0.9376213561910757,0.22660689660807762,0.9064275864323105,0.1111111111111111,0.7777777777777778,0.7777777777777778,-1.123594471732605,0.26883300820550793,-0.029066742043098573
LSTM,Konfigurasi penuh,17,0,0.16198860207755122,1.2959088166204098,0.17864635490397868,0.7145854196159147,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.6051254224667966,0.11745277226152284,0.0
LSTM,Tanpa BI-Rate $t-1$,16,1,0.16888585342331475,1.351086827386518,0.18028574350874038,0.7211429740349615,0.6666666666666666,0.4166666666666667,0.4166666666666667,1.621391248935725,0.11390933681392856,0.006897251345763522
LSTM,Tanpa seluruh lag BI-Rate,14,3,0.18802151189992106,1.5041720951993685,0.15277188411619505,0.6110875364647802,0.7777777777777778,0.4166666666666667,0.3888888888888889,2.4001998263170403,0.021839659147471213,0.026032909822369832
LSTM,Tanpa fitur turunan reaksi kebijakan,10,7,0.11788895664462055,0.9431116531569644,0.17985321039901297,0.7194128415960519,0.4444444444444444,0.6944444444444444,0.6944444444444444,-0.4473092524032277,0.6574079171826677,-0.04409964543293067
LSTM,Tanpa indikator makro mentah,10,7,0.19889582285797752,1.5911665828638202,0.2589528794648069,1.0358115178592275,0.2222222222222222,0.5,0.4722222222222222,2.830406802986333,0.007650996499971807,0.0369072207804263
LSTM,Hanya lag BI-Rate,3,14,0.12049863155063782,0.9639890524051026,0.22481184519894903,0.8992473807957961,0.1111111111111111,0.7222222222222222,0.7222222222222222,-0.4938074765284202,0.6245269593725098,-0.0414899705269134
XGBoost,Konfigurasi penuh,22,0,0.2206925485654917,1.7655403885239336,0.24104613409042827,0.9641845363617131,0.6666666666666666,0.4166666666666667,0.3611111111111111,3.085184241261307,0.003959314195024266,0.0
XGBoost,Tanpa BI-Rate $t-1$,21,1,0.25632812526226884,2.0506250020981507,0.2847677814876314,1.1390711259505255,0.4444444444444444,0.2777777777777778,0.25,4.25650619037508,0.00014772919387828765,0.03563557669677714
XGBoost,Tanpa seluruh lag BI-Rate,19,3,0.31906385128695997,2.5525108102956797,0.4361410146975797,1.7445640587903188,0.3333333333333333,0.3888888888888889,0.3888888888888889,3.5900753346324357,0.0010030006719095041,0.09837130272146827
XGBoost,Tanpa fitur turunan reaksi kebijakan,15,7,0.24014586674186114,1.9211669339348891,0.24650163945078588,0.9860065578031435,0.6666666666666666,0.3888888888888889,0.3611111111111111,3.682696310325108,0.0007732596960186022,0.019453318176369444
XGBoost,Tanpa indikator makro mentah,10,12,0.2029905063299657,1.6239240506397257,0.17488818544547183,0.6995527417818873,0.3333333333333333,0.3888888888888889,0.3888888888888889,2.568202482281137,0.01464884333263039,-0.01770204223552599
XGBoost,Hanya lag BI-Rate,3,19,0.16314424050950202,1.3051539240760162,0.22784985821502213,0.9113994328600885,0.2222222222222222,0.6111111111111112,0.6111111111111112,2.042656909187427,0.04867524336279527,-0.05754830805598968
