model,fitur,fitur_tampil,RMSE_test,Theil_U2,RMSE_change,U2_change,hit_change,hit_all,exact_hit,DM_stat,DM_p_value,delta_RMSE
RF,(konfigurasi penuh),(konfigurasi penuh),0.14337659095244148,1.1470127276195319,0.21408566967954684,0.8563426787181874,0.3333333333333333,0.5555555555555556,0.5555555555555556,1.0102566216204882,0.31930589999843395,0.0
RF,Inflation_YoY_Pct,Inflasi YoY,0.13703038433223805,1.0962430746579044,0.20920177387057254,0.8368070954822902,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.7462589644188673,0.46049438319356106,-0.006346206620203437
RF,Inflation_Gap_Pct,Inflation Gap,0.13602819762379606,1.0882255809903685,0.2077777173394741,0.8311108693578964,0.2222222222222222,0.5833333333333334,0.5833333333333334,0.6915042535287836,0.49381040821030586,-0.007348393328645425
RF,GDP_Growth_YoY_Pct,Pertumbuhan PDB,0.1365759754268418,1.0926078034147344,0.21501985185026842,0.8600794074010737,0.2222222222222222,0.6111111111111112,0.6111111111111112,0.7444230052089148,0.46158984353582144,-0.006800615525599685
RF,Federal_Funds_Rate_Pct,Federal Funds Rate,0.14603950072040173,1.1683160057632138,0.22023235996362386,0.8809294398544955,0.3333333333333333,0.5277777777777778,0.5277777777777778,1.1232342648894842,0.2689838322813536,0.002662909767960242
RF,USD_IDR_Monthly_Avg,Kurs USD/IDR,0.13951157890874846,1.1160926312699877,0.2167787793815214,0.8671151175260856,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.8926433131657576,0.378144767919943,-0.0038650120436930224
RF,M2_Triliun_Rp,M2 (Uang Beredar),0.13920490070359434,1.1136392056287547,0.21505261304681925,0.860210452187277,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.8713560780342828,0.38949771593653093,-0.004171690248847143
RF,Credit_Growth_YoY_Pct,Pertumbuhan Kredit,0.1473614685721337,1.1788917485770696,0.23238781726199534,0.9295512690479814,0.2222222222222222,0.6111111111111112,0.6111111111111112,1.509728531480889,0.14008855402550235,0.003984877619692212
RF,BI_Rate_Pct_lag1,BI-Rate t-1 (Persistensi),0.4086639930788805,3.269311944631044,0.3959327361907408,1.5837309447629633,0.6666666666666666,0.4444444444444444,0.3611111111111111,3.745472947550348,0.0006474511777232461,0.26528740212643903
RF,BI_Rate_Pct_lag2,BI-Rate t-2,0.13560906707600964,1.0848725366080771,0.21451043218869278,0.8580417287547711,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.7286524541773423,0.4710619661476978,-0.007767523876431842
RF,BI_Rate_Pct_lag3,BI-Rate t-3,0.14245391701900706,1.1396313361520565,0.21714905808313117,0.8685962323325247,0.2222222222222222,0.5555555555555556,0.5555555555555556,1.0485000186204785,0.30159493780887137,-0.0009226739334344258
RF,policy_regime,Arah Kebijakan Suku Bunga,0.1413288732604532,1.1306309860836257,0.2151935764540834,0.8607743058163336,0.2222222222222222,0.5555555555555556,0.5555555555555556,1.0275071648451577,0.31123079630711903,-0.0020477176919882767
RF,real_rate,Suku Bunga Riil,0.13600733496506062,1.088058679720485,0.20713675610861376,0.828547024434455,0.2222222222222222,0.5833333333333334,0.5833333333333334,0.6600322846220315,0.5135535553060051,-0.007369255987380863
RF,output_gap,Output Gap,0.1369420125256654,1.0955361002053232,0.20923086471518237,0.8369234588607295,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.748488463334941,0.45916615164614405,-0.006434578426776083
RF,infl_momentum_3,Momentum Inflasi (3 Bln),0.13636170470826184,1.0908936376660947,0.2099505216790774,0.8398020867163096,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.7003180566464682,0.4883581657143832,-0.007014886244179647
RF,fx_pressure_3,Tekanan Kurs (3 Bln),0.14415070816509207,1.1532056653207365,0.21831296859326296,0.8732518743730519,0.2222222222222222,0.5277777777777778,0.5277777777777778,1.096007924821361,0.28055972972568366,0.0007741172126505824
RF,ffr_change,Perubahan FFR,0.13900664809717414,1.1120531847773931,0.21023188912108162,0.8409275564843265,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.8318913476673993,0.41111036561571535,-0.004369942855267345
RF,fed_cycle,Siklus The Fed,0.13473056840784328,1.0778445472627463,0.20931373168755246,0.8372549267502098,0.2222222222222222,0.6111111111111112,0.6111111111111112,0.6266700442104997,0.534942001040088,-0.008646022544598203
BiLSTM,(konfigurasi penuh),(konfigurasi penuh),0.14626941156698303,1.1701552925358643,0.1621459379124496,0.6485837516497984,0.6666666666666666,0.6388888888888888,0.6388888888888888,0.8987602484180047,0.3749221837587533,0.0
BiLSTM,Inflation_YoY_Pct,Inflasi YoY,0.13414265905026201,1.0731412724020961,0.16103716609975005,0.6441486643990002,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4377551534246241,0.664253473104726,-0.012126752516721018
BiLSTM,Inflation_Gap_Pct,Inflation Gap,0.1348883680923371,1.0791069447386967,0.15869044575197302,0.6347617830078921,0.6666666666666666,0.6944444444444444,0.6944444444444444,0.4590024833601635,0.6490703434086003,-0.011381043474645941
BiLSTM,GDP_Growth_YoY_Pct,Pertumbuhan PDB,0.1359182178158475,1.08734574252678,0.1567340879189304,0.6269363516757216,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5124548901155007,0.6115516898585858,-0.010351193751135523
BiLSTM,Federal_Funds_Rate_Pct,Federal Funds Rate,0.13185902825899803,1.0548722260719843,0.16066878769266907,0.6426751507706763,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3345134323554016,0.7399885439739577,-0.014410383307984997
BiLSTM,USD_IDR_Monthly_Avg,Kurs USD/IDR,0.13926446627812344,1.1141157302249876,0.15826283204795064,0.6330513281918025,0.6666666666666666,0.6388888888888888,0.6388888888888888,0.6441419912291272,0.5236825672238794,-0.0070049452888595876
BiLSTM,M2_Triliun_Rp,M2 (Uang Beredar),0.13611980678619323,1.0889584542895459,0.161606171555828,0.646424686223312,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5175173918282049,0.6080506962030063,-0.0101496047807898
BiLSTM,Credit_Growth_YoY_Pct,Pertumbuhan Kredit,0.15528888158062915,1.2423110526450332,0.15555412921908127,0.6222165168763251,0.6666666666666666,0.6388888888888888,0.6388888888888888,1.196775254516991,0.23943798031001884,0.009019470013646114
BiLSTM,BI_Rate_Pct_lag1,BI-Rate t-1 (Persistensi),0.1377689674687824,1.1021517397502592,0.16175492044504045,0.6470196817801618,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5923216286423731,0.5574427779608992,-0.008500444098200638
BiLSTM,BI_Rate_Pct_lag2,BI-Rate t-2,0.1396785046002483,1.1174280368019864,0.15963562487871516,0.6385424995148606,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6622188422033142,0.5121681406386562,-0.0065909069667347275
BiLSTM,BI_Rate_Pct_lag3,BI-Rate t-3,0.1466869154170768,1.1734953233366143,0.1590510527034274,0.6362042108137096,0.6666666666666666,0.6388888888888888,0.6388888888888888,0.9092399775906324,0.36944244241510216,0.0004175038500937589
BiLSTM,policy_regime,Arah Kebijakan Suku Bunga,0.13219670757232488,1.057573660578599,0.16523268387401166,0.6609307354960466,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.37389085852571946,0.7107409954964328,-0.014072703994658153
BiLSTM,real_rate,Suku Bunga Riil,0.1394505372638412,1.1156042981107297,0.1571463253353039,0.6285853013412156,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6437962610247755,0.5239041301646008,-0.00681887430314182
BiLSTM,output_gap,Output Gap,0.15044428264150084,1.2035542611320067,0.1648479854185784,0.6593919416743136,0.6666666666666666,0.6388888888888888,0.6388888888888888,1.053209397855507,0.2994620543270967,0.004174871074517805
BiLSTM,infl_momentum_3,Momentum Inflasi (3 Bln),0.18059526171935691,1.4447620937548553,0.1725380234052931,0.6901520936211724,0.7777777777777778,0.6111111111111112,0.6111111111111112,1.8274003114012232,0.07617613339032125,0.03432585015237388
BiLSTM,fx_pressure_3,Tekanan Kurs (3 Bln),0.17061562482529197,1.3649249986023357,0.1606362715384941,0.6425450861539764,0.6666666666666666,0.6944444444444444,0.6944444444444444,1.383327544202983,0.17532533081032398,0.024346213258308935
BiLSTM,ffr_change,Perubahan FFR,0.186247722677196,1.489981781417568,0.17812576389636425,0.712503055585457,0.7777777777777778,0.6111111111111112,0.6111111111111112,1.9131800959995506,0.06393365666284789,0.039978311110212966
BiLSTM,fed_cycle,Siklus The Fed,0.15975743994875213,1.278059519590017,0.16027134398506665,0.6410853759402666,0.6666666666666666,0.6388888888888888,0.6388888888888888,1.3255509209136158,0.19357608409901594,0.013488028381769102
LSTM,(konfigurasi penuh),(konfigurasi penuh),0.16198860207755122,1.2959088166204098,0.17864635490397868,0.7145854196159147,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.6051254224667966,0.11745277226152284,0.0
LSTM,Inflation_YoY_Pct,Inflasi YoY,0.15462290615748794,1.2369832492599036,0.14995647130448403,0.5998258852179361,0.6666666666666666,0.6111111111111112,0.6111111111111112,1.1020938204257222,0.2779419987156262,-0.007365695920063281
LSTM,Inflation_Gap_Pct,Inflation Gap,0.16557843211838216,1.3246274569470573,0.16098742568892427,0.6439497027556971,0.6666666666666666,0.6111111111111112,0.6111111111111112,1.398189219630756,0.170854210154177,0.003589830040830938
LSTM,GDP_Growth_YoY_Pct,Pertumbuhan PDB,0.15725487912287878,1.2580390329830302,0.1781842821579769,0.7127371286319076,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.3717211716225182,0.17888001864752612,-0.004733722954672448
LSTM,Federal_Funds_Rate_Pct,Federal Funds Rate,0.28049287652166055,2.2439430121732844,0.2735202960352165,1.094081184140866,0.6666666666666666,0.5,0.4166666666666667,3.785425013524554,0.000577974181715124,0.11850427444410933
LSTM,USD_IDR_Monthly_Avg,Kurs USD/IDR,0.19138957050978703,1.5311165640782962,0.214808061688024,0.859232246752096,0.5555555555555556,0.3611111111111111,0.3333333333333333,2.6033820708826445,0.013450536315208872,0.029400968432235802
LSTM,M2_Triliun_Rp,M2 (Uang Beredar),0.16876619294093845,1.3501295435275076,0.189322008045344,0.757288032181376,0.5555555555555556,0.4444444444444444,0.4444444444444444,1.8671933763107542,0.07026831822668722,0.006777590863387223
LSTM,Credit_Growth_YoY_Pct,Pertumbuhan Kredit,0.13620009493032634,1.0896007594426107,0.17662401838475092,0.7064960735390037,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5407242927137864,0.5921225254707569,-0.025788507147224887
