model,fitur,fitur_tampil,RMSE_test,Theil_U2,RMSE_change,U2_change,hit_change,hit_all,exact_hit,DM_stat,DM_p_value,delta_RMSE,sigma,sigma_delta,ambang,rasio_sigma,terbaca
RF,Inflation_YoY_Pct,Inflasi YoY,0.137030384332238,1.0962430746579044,0.2092017738705725,0.8368070954822902,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.7462589644188673,0.460494383193561,-0.0063462066202034,0.0,0.0,0.0,inf,True
RF,Inflation_Gap_Pct,Inflation Gap,0.136028197623796,1.0882255809903685,0.2077777173394741,0.8311108693578964,0.2222222222222222,0.5833333333333334,0.5833333333333334,0.6915042535287836,0.4938104082103058,-0.0073483933286454,0.0,0.0,0.0,inf,True
RF,GDP_Growth_YoY_Pct,Pertumbuhan PDB,0.1365759754268418,1.0926078034147344,0.2150198518502684,0.8600794074010737,0.2222222222222222,0.6111111111111112,0.6111111111111112,0.7444230052089148,0.4615898435358214,-0.0068006155255996,0.0,0.0,0.0,inf,True
RF,Federal_Funds_Rate_Pct,Federal Funds Rate,0.1460395007204017,1.1683160057632138,0.2202323599636238,0.8809294398544955,0.3333333333333333,0.5277777777777778,0.5277777777777778,1.1232342648894842,0.2689838322813536,0.0026629097679602,0.0,0.0,0.0,inf,True
RF,USD_IDR_Monthly_Avg,Kurs USD/IDR,0.1395115789087484,1.1160926312699877,0.2167787793815214,0.8671151175260856,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.8926433131657576,0.378144767919943,-0.003865012043693,0.0,0.0,0.0,inf,True
RF,M2_Triliun_Rp,M2 (Uang Beredar),0.1392049007035943,1.1136392056287547,0.2150526130468192,0.860210452187277,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.8713560780342828,0.3894977159365309,-0.0041716902488471,0.0,0.0,0.0,inf,True
RF,Credit_Growth_YoY_Pct,Pertumbuhan Kredit,0.1473614685721337,1.1788917485770696,0.2323878172619953,0.9295512690479814,0.2222222222222222,0.6111111111111112,0.6111111111111112,1.509728531480889,0.1400885540255023,0.0039848776196922,0.0,0.0,0.0,inf,True
RF,BI_Rate_Pct_lag1,BI-Rate t-1 (Persistensi),0.4086639930788805,3.269311944631044,0.3959327361907408,1.5837309447629633,0.6666666666666666,0.4444444444444444,0.3611111111111111,3.745472947550348,0.0006474511777232,0.265287402126439,0.0,0.0,0.0,inf,True
RF,BI_Rate_Pct_lag2,BI-Rate t-2,0.1356090670760096,1.0848725366080771,0.2145104321886927,0.8580417287547711,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.7286524541773423,0.4710619661476978,-0.0077675238764318,0.0,0.0,0.0,inf,True
RF,BI_Rate_Pct_lag3,BI-Rate t-3,0.142453917019007,1.1396313361520565,0.2171490580831311,0.8685962323325247,0.2222222222222222,0.5555555555555556,0.5555555555555556,1.0485000186204785,0.3015949378088713,-0.0009226739334344,0.0,0.0,0.0,inf,True
RF,policy_regime,Arah Kebijakan Suku Bunga,0.1413288732604532,1.1306309860836257,0.2151935764540834,0.8607743058163336,0.2222222222222222,0.5555555555555556,0.5555555555555556,1.0275071648451577,0.311230796307119,-0.0020477176919882,0.0,0.0,0.0,inf,True
RF,real_rate,Suku Bunga Riil,0.1360073349650606,1.088058679720485,0.2071367561086137,0.828547024434455,0.2222222222222222,0.5833333333333334,0.5833333333333334,0.6600322846220315,0.5135535553060051,-0.0073692559873808,0.0,0.0,0.0,inf,True
RF,output_gap,Output Gap,0.1369420125256654,1.0955361002053232,0.2092308647151823,0.8369234588607295,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.748488463334941,0.459166151646144,-0.006434578426776,0.0,0.0,0.0,inf,True
RF,infl_momentum_3,Momentum Inflasi (3 Bln),0.1363617047082618,1.0908936376660947,0.2099505216790774,0.8398020867163096,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.7003180566464682,0.4883581657143832,-0.0070148862441796,0.0,0.0,0.0,inf,True
RF,fx_pressure_3,Tekanan Kurs (3 Bln),0.144150708165092,1.1532056653207363,0.2183129685932629,0.8732518743730519,0.2222222222222222,0.5277777777777778,0.5277777777777778,1.096007924821361,0.2805597297256836,0.0007741172126505,0.0,0.0,0.0,inf,True
RF,ffr_change,Perubahan FFR,0.1390066480971741,1.1120531847773931,0.2102318891210816,0.8409275564843265,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.8318913476673993,0.4111103656157153,-0.0043699428552673,0.0,0.0,0.0,inf,True
RF,fed_cycle,Siklus The Fed,0.1347305684078432,1.0778445472627465,0.2093137316875524,0.8372549267502098,0.2222222222222222,0.6111111111111112,0.6111111111111112,0.6266700442104997,0.534942001040088,-0.0086460225445982,0.0,0.0,0.0,inf,True
BiLSTM,Inflation_YoY_Pct,Inflasi YoY,0.134142659050262,1.073141272402096,0.16103716609975,0.6441486643990002,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4377551534246241,0.664253473104726,-0.012126752516721,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.9148976579607035,False
BiLSTM,Inflation_Gap_Pct,Inflation Gap,0.1348883680923371,1.0791069447386967,0.158690445751973,0.6347617830078921,0.6666666666666666,0.6944444444444444,0.6944444444444444,0.4590024833601635,0.6490703434086003,-0.0113810434746459,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.8586379581627641,False
BiLSTM,GDP_Growth_YoY_Pct,Pertumbuhan PDB,0.1359182178158475,1.08734574252678,0.1567340879189304,0.6269363516757216,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5124548901155007,0.6115516898585858,-0.0103511937511355,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.7809413861586781,False
BiLSTM,Federal_Funds_Rate_Pct,Federal Funds Rate,0.131859028258998,1.0548722260719845,0.160668787692669,0.6426751507706763,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3345134323554016,0.7399885439739577,-0.0144103833079849,0.0093725334891094,0.013254763974094539,0.026509527948189077,1.0871852064773793,False
BiLSTM,USD_IDR_Monthly_Avg,Kurs USD/IDR,0.1392644662781234,1.1141157302249876,0.1582628320479506,0.6330513281918025,0.6666666666666666,0.6388888888888888,0.6388888888888888,0.6441419912291272,0.5236825672238794,-0.0070049452888595,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.5284851018509383,False
BiLSTM,M2_Triliun_Rp,M2 (Uang Beredar),0.1361198067861932,1.088958454289546,0.161606171555828,0.646424686223312,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5175173918282049,0.6080506962030063,-0.0101496047807898,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.7657325924947782,False
BiLSTM,Credit_Growth_YoY_Pct,Pertumbuhan Kredit,0.1552888815806291,1.2423110526450332,0.1555541292190812,0.6222165168763251,0.6666666666666666,0.6388888888888888,0.6388888888888888,1.196775254516991,0.2394379803100188,0.0090194700136461,0.0093725334891094,0.013254763974094539,0.026509527948189077,0.6804700582578453,False
