tanggal,split,aktual,delta_aktual,is_change,pred_BiLSTM,pred_BiLSTM_snap,pred_LSTM,pred_LSTM_snap,pred_RF,pred_RF_snap,pred_XGBoost,pred_XGBoost_snap,arah_benar_BiLSTM,arah_benar_LSTM,arah_benar_RF,arah_benar_XGBoost
2011-Okt,train,6.5,-0.25,True,6.6738,6.75,6.6293,6.75,6.6796,6.75,6.5006,6.5,False,False,False,True
2011-Nov,train,6.0,-0.5,True,6.4186,6.5,6.2787,6.25,6.2876,6.25,6.0108,6.0,False,True,True,True
2012-Feb,train,5.75,-0.25,True,5.9107,6.0,5.8927,6.0,5.8966,6.0,5.7511,5.75,False,False,False,True
2013-Jun,train,6.0,0.25,True,5.8397,5.75,5.9546,6.0,5.9173,6.0,6.0015,6.0,False,True,True,True
2013-Jul,train,6.5,0.5,True,6.0799,6.0,6.2634,6.25,6.173,6.25,6.5033,6.5,False,True,True,True
2013-Agu,train,7.0,0.5,True,6.6507,6.75,6.8242,6.75,6.468,6.5,6.9892,7.0,True,True,False,True
2013-Sep,train,7.25,0.25,True,7.1826,7.25,7.2348,7.25,6.8296,6.75,7.2574,7.25,True,True,False,True
2013-Nov,train,7.5,0.25,True,7.3817,7.5,7.358,7.25,7.3154,7.25,7.4912,7.5,True,False,False,True
2014-Des,train,7.75,0.25,True,7.4144,7.5,7.5582,7.5,7.6287,7.75,7.7437,7.75,False,False,True,True
2015-Feb,train,7.5,-0.25,True,7.7284,7.75,7.6746,7.75,7.5067,7.5,7.4993,7.5,False,False,True,True
2016-Jan,train,7.25,-0.25,True,7.3139,7.25,7.3081,7.25,7.3261,7.25,7.2537,7.25,True,True,True,True
2016-Feb,train,7.0,-0.25,True,7.0463,7.0,7.0773,7.0,7.1859,7.25,7.0003,7.0,True,True,False,True
2016-Mar,train,6.75,-0.25,True,6.7919,6.75,6.8945,7.0,6.7934,6.75,6.7531,6.75,True,False,True,True
2016-Jun,train,6.5,-0.25,True,6.5325,6.5,6.6288,6.75,6.6572,6.75,6.5031,6.5,True,False,False,True
2016-Agu,train,5.25,-1.25,True,6.2783,6.25,5.6607,5.75,5.9175,6.0,5.2677,5.25,True,True,True,True
2016-Sep,train,5.0,-0.25,True,5.0276,5.0,4.6679,4.75,5.0702,5.0,4.994,5.0,True,True,True,True
2016-Okt,train,4.75,-0.25,True,4.8058,4.75,4.9054,5.0,4.8427,4.75,4.7512,4.75,True,False,True,True
