model,label,segmen,k,n,hit_rate,wilson_lo,wilson_hi,lebar
RF,Random Forest,Bulan-perubahan,3,9,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.5252210538181672
RF,Random Forest,Bulan-tahan,17,27,0.6296296296296297,0.442289046234463,0.7846771293206314,0.34238808308616836
RF,Random Forest,Keseluruhan,20,36,0.5555555555555556,0.3958078731600341,0.7045897012345685,0.30878182807453447
BiLSTM,BiLSTM,Bulan-perubahan,6,9,0.6666666666666666,0.35419734749908977,0.879418401317257,0.5252210538181672
BiLSTM,BiLSTM,Bulan-tahan,17,27,0.6296296296296297,0.442289046234463,0.7846771293206314,0.34238808308616836
BiLSTM,BiLSTM,Keseluruhan,23,36,0.6388888888888888,0.4757478039083198,0.7752461320781867,0.29949832816986693
LSTM,LSTM,Bulan-perubahan,6,9,0.6666666666666666,0.35419734749908977,0.879418401317257,0.5252210538181672
LSTM,LSTM,Bulan-tahan,10,27,0.37037037037037035,0.21532287067936856,0.5577109537655369,0.34238808308616836
LSTM,LSTM,Keseluruhan,16,36,0.4444444444444444,0.2954102987654314,0.6041921268399659,0.3087818280745345
XGBoost,XGBoost,Bulan-perubahan,6,9,0.6666666666666666,0.35419734749908977,0.879418401317257,0.5252210538181672
XGBoost,XGBoost,Bulan-tahan,9,27,0.3333333333333333,0.1864305444359335,0.5217558012789452,0.3353252568430117
XGBoost,XGBoost,Keseluruhan,15,36,0.4166666666666667,0.2714033350508729,0.5780003033572231,0.3065969683063502
