tahun,bulan,lime_r2
2023,1,0.003783729675057801
2023,2,0.00409460067416878
2023,3,0.004235272294096926
2023,4,0.005987468402019247
2023,5,0.006030531323291455
2023,6,0.004383644620447491
2023,7,0.0036466877772747264
2023,8,0.0032018684308731116
2023,9,0.003156194416745306
2023,10,0.002938833161600707
2023,11,0.04333338105596862
2023,12,0.04373428540086455
2024,1,0.044789547453707335
2024,2,0.04485652636982973
2024,3,0.044685306468342234
2024,4,0.04383313082145812
2024,5,0.04415293588531832
2024,6,0.04351647597295316
2024,7,0.044389841654757456
2024,8,0.04441422502258974
2024,9,0.04466427983725774
2024,10,0.04358895699882637
2024,11,0.04372656925642027
2024,12,0.04406719691456629
2025,1,0.045074646635280935
2025,2,0.003588515552903071
2025,3,0.003496801923776105
2025,4,0.003627912688845103
2025,5,0.0033414659502675192
2025,6,0.0036093524327860393
2025,7,0.0021878556916892222
2025,8,0.0027794771833725695
2025,9,0.002280101271184831
2025,10,0.6901171646786041
2025,11,0.6909547196444834
2025,12,0.6915997651886183
