model,regularisasi,R2_train,R2_test,gap,RMSE_test
BiLSTM,L2=0,0.9763274452463832,0.8866816489393357,0.0896457963070475,0.14626941156698303
BiLSTM,"L2=0,0001",0.9789873226693815,0.8634991695973432,0.1154881530720383,0.160535482547478
BiLSTM,"L2=0,001",0.9775280010077181,0.8637765407392965,0.11375146026842153,0.1603722946998461
BiLSTM,"L2=0,01",0.9745543990754166,0.8935894611457273,0.08096493792968928,0.14174107176224293
LSTM,L2=0,0.9901555047543646,0.8610168556418336,0.12913864911253103,0.16198860207755122
LSTM,"L2=0,0001",0.9883557657376225,0.8716766575691459,0.1166791081684766,0.15565254379945728
LSTM,"L2=0,001",0.984195815548782,0.8586185359678873,0.1255772795808947,0.16338027712664588
LSTM,"L2=0,01",0.9731647313676007,0.9243935673090119,0.048771164058588834,0.11947657513278488
XGBoost,longgar,0.9999794886970574,0.74203038370958,0.2579491049874775,0.2206925485654917
XGBoost,sedang,0.9968950041962888,0.7919166488517424,0.20497835534454645,0.19820840094146516
XGBoost,ketat,0.988670529103467,0.7351796543559169,0.25349087474755005,0.2236037409496011
XGBoost,sangat ketat,0.9737558907265692,0.7326289360006688,0.2411269547259004,0.22467802274838483
