fitur,fitur_tampil,pangsa_RF,rank_RF,arah_RF,pangsa_XGBoost,rank_XGBoost,arah_XGBoost,pangsa_LSTM,rank_LSTM,arah_LSTM,pangsa_BiLSTM,rank_BiLSTM,arah_BiLSTM,rank_rata
Credit_Growth_YoY_Pct,Pertumbuhan Kredit,61.563221235762754,1,-1.0,54.17299403822793,1,-1.0,4.197023975601531,10,-1.0,16.994656393187256,1,-1.0,3.25
real_rate,Suku Bunga Riil,15.875272631076786,2,1.0,6.9009491620878824,4,1.0,13.563305940304732,2,-1.0,8.50162574718068,8,-1.0,4.0
M2_Triliun_Rp,M2 (Uang Beredar),0.13518323078111186,14,1.0,9.667254452097476,2,-1.0,15.0226757210978,1,-1.0,10.804403428644537,5,-1.0,5.5
USD_IDR_Monthly_Avg,Kurs USD/IDR,1.5582385284053375,7,-1.0,8.043359007946977,3,1.0,7.072348890954315,7,-1.0,9.09160728619995,6,1.0,5.75
Federal_Funds_Rate_Pct,Federal Funds Rate,1.3520064344154106,8,-1.0,4.38948839223602,6,1.0,12.334369144810836,4,1.0,8.596848582406487,7,-1.0,6.25
Inflation_YoY_Pct,Inflasi YoY,2.3130766965394813,6,1.0,3.562291642958916,7,-1.0,2.4625258350796213,11,-1.0,14.395690943014403,2,-1.0,6.5
policy_regime,Arah Kebijakan Suku Bunga,4.937960936172465,3,-1.0,2.6804592093534394,8,-1.0,1.5481505846592591,13,-1.0,11.80540544827889,3,-1.0,6.75
output_gap,Output Gap,0.6200136949221131,10,-1.0,2.1869512278678216,9,-1.0,13.002472025133278,3,-1.0,4.193830622622275,9,-1.0,7.75
GDP_Growth_YoY_Pct,Pertumbuhan PDB,4.729112646404919,5,-1.0,4.730198691375805,5,1.0,1.9539139024275367,12,-1.0,2.7461526769464744,10,1.0,8.0
fx_pressure_3,Tekanan Kurs (3 Bln),4.84998082792077,4,-1.0,1.980667835875843,10,-1.0,6.074963985797981,8,-1.0,0.8661255628541382,11,-1.0,8.25
Inflation_Gap_Pct,Inflation Gap,0.6993754079464553,9,-1.0,0.06790449607661925,14,-1.0,5.70349002102494,9,-1.0,11.371022802801605,4,-1.0,9.0
fed_cycle,Siklus The Fed,0.6014504795485056,11,-1.0,0.3624190187387021,12,-1.0,7.482565356904905,6,1.0,0.09694291469049218,13,-1.0,10.5
ffr_change,Perubahan FFR,0.3599535781503645,13,1.0,0.2035772495618691,13,1.0,8.78659516957371,5,-1.0,0.4584638316809271,12,-1.0,10.75
infl_momentum_3,Momentum Inflasi (3 Bln),0.4051536719535417,12,-1.0,1.0514855755947108,11,-1.0,0.7955994466295512,14,1.0,0.07722375949190266,14,1.0,12.75
