fitur,fitur_tampil,rank_rata,pangsa_rata,n_top3,n_penilaian,n_menahan,pangsa_RF_2025-Jul,rank_RF_2025-Jul,pangsa_XGBoost_2025-Jul,rank_XGBoost_2025-Jul,pangsa_LSTM_2025-Jul,rank_LSTM_2025-Jul,pangsa_BiLSTM_2025-Jul,rank_BiLSTM_2025-Jul,pangsa_RF_2024-Apr,rank_RF_2024-Apr,pangsa_XGBoost_2024-Apr,rank_XGBoost_2024-Apr,pangsa_LSTM_2024-Apr,rank_LSTM_2024-Apr,pangsa_BiLSTM_2024-Apr,rank_BiLSTM_2024-Apr,rank_se
Credit_Growth_YoY_Pct,Pertumbuhan Kredit,3.875,29.64085726512408,5,8,6,61.563221235762754,1,54.305309250119606,1,4.197023975601531,10,16.994656393187256,1,43.04043893542078,1,45.00655114466672,1,0.6152050306631857,10,11.404452155570764,6,1.4691773694340458
real_rate,Suku Bunga Riil,4.0,11.916330751923295,5,8,4,15.875272631076786,2,7.213050628504983,3,13.563305940304732,2,8.50162574718068,8,18.37138608002212,2,8.532492829864445,5,15.503709048574668,3,7.769803109857959,7,0.8451542547285165
M2_Triliun_Rp,M2 (Uang Beredar),4.5,11.120133687517162,4,8,7,0.1351832307811118,14,9.33621145288235,2,15.0226757210978,1,10.804403428644536,5,3.649933626259942,6,9.221329012110942,4,29.045357209556578,1,11.745975818804045,3,1.4999999999999998
policy_regime,Arah Kebijakan Suku Bunga,5.625,8.163696853975134,5,8,5,4.937960936172465,3,2.723950355727617,8,1.5481505846592591,13,11.80540544827889,3,15.73992923081786,3,10.233498373996476,3,0.1512774835268884,11,18.16940241862161,1,1.5690932322295483
Federal_Funds_Rate_Pct,Federal Funds Rate,5.875,7.559902701636174,2,8,4,1.3520064344154106,8,4.782418367042792,6,12.334369144810836,4,8.596848582406487,7,2.8776200053422287,8,0.6693922400070074,10,17.104851810739028,2,12.761715028325604,2,1.0426186126425
USD_IDR_Monthly_Avg,Kurs USD/IDR,6.5,6.503245477888164,0,8,4,1.5582385284053375,7,6.907942895918919,4,7.072348890954315,7,9.09160728619995,6,0.7190151701397107,11,7.789209662520266,6,7.436438958886791,6,11.451162430080029,5,0.7319250547113998
Inflation_YoY_Pct,Inflasi YoY,7.25,6.135656208830148,2,8,5,2.3130766965394813,6,4.026038214707082,7,2.4625258350796213,11,14.395690943014404,2,0.6366597631854881,13,13.588290610193424,2,0.0,13,11.662967607921686,4,1.6229382525002518
GDP_Growth_YoY_Pct,Pertumbuhan PDB,8.375,2.8301667445035905,0,8,3,4.729112646404919,5,5.011308893077915,5,1.9539139024275367,12,2.7461526769464744,10,2.959169831600565,7,1.2124949961158984,8,0.0,12,4.029181009455418,8,0.98084329606139
fx_pressure_3,Tekanan Kurs (3 Bln),8.375,2.7107164731398226,0,8,6,4.84998082792077,4,1.934356537319042,10,6.074963985797981,8,0.8661255628541382,11,3.9932826877249847,5,0.680160879299025,9,2.4261469096030788,8,0.860714394599563,12,0.98084329606139
output_gap,Output Gap,8.75,4.272817998962895,1,8,8,0.6200136949221131,10,2.0735446685549213,9,13.002472025133278,3,4.193830622622275,9,0.7185536962431983,12,0.3763747401060039,13,9.899405746316225,5,3.298348797805147,9,1.1764049351429002
Inflation_Gap_Pct,Inflation Gap,9.5,3.306823371687443,0,8,8,0.6993754079464553,9,0.1452943433796085,14,5.70349002102494,9,11.371022802801605,4,0.9497218204000916,10,0.5008900493465619,12,4.207225517687044,7,2.877567010913236,11,1.0856202966836188
fed_cycle,Siklus The Fed,9.5,2.3082636797339284,0,8,6,0.6014504795485056,11,0.3618160789417692,12,7.482565356904905,6,0.0969429146904921,13,4.492579071600121,4,0.5333902725541663,11,1.8391744137367496,9,3.058190849894717,10,1.0856202966836188
ffr_change,Perubahan FFR,11.0,2.82859344954482,0,8,4,0.3599535781503645,13,0.2105198001795874,13,8.78659516957371,5,0.4584638316809271,12,0.3301820829489655,14,0.0862296953885126,14,11.77120787070976,4,0.6255955677267302,13,1.439245834257849
infl_momentum_3,Momentum Inflasi (3 Bln),11.875,0.7027953355333456,0,8,4,0.4051536719535417,12,0.96823851364379,11,0.7955994466295512,14,0.0772237594919026,14,1.5215279982939351,9,1.5696954938305463,7,0.0,14,0.2849238004234972,14,0.9531432960773226
