configuration,experiment_id,source,model,RMSE,MAPE,R2
Baseline,BASELINE,current_run,ARIMA,1.980155814519717,31.38611301519298,-3.2475472441719626
Baseline,BASELINE,current_run,VAR,3.4002221624278555,50.76873239409802,-11.52431767514211
Baseline,BASELINE,current_run,RF,0.9919561831086041,18.08642837525263,-0.06591964166000319
Baseline,BASELINE,current_run,XGBoost,1.050106244081411,19.431356354218035,-0.194554501133398
Baseline,BASELINE,current_run,LSTM,0.19458750831684332,2.433991215157844,0.9107423404457667
Baseline,BASELINE,current_run,BiLSTM,0.16050344240245218,2.203183219918662,0.9392726564628577
Run Saat Ini (E160),E160,current_run,ARIMA,0.8977163487639678,14.04993110489085,-3.268462659997712
Run Saat Ini (E160),E160,current_run,VAR,4.6012444560993675,63.26707076067275,-111.13568288548281
Run Saat Ini (E160),E160,current_run,RF,0.20692177886855273,3.026444708398364,0.7732195439044348
Run Saat Ini (E160),E160,current_run,XGBoost,0.2133865953790018,3.1077360995654484,0.7588276660747909
Run Saat Ini (E160),E160,current_run,LSTM,0.1189160774461783,1.5124720643291243,0.941707156124638
Run Saat Ini (E160),E160,current_run,BiLSTM,0.17651758859374753,2.755190899422957,0.8715571111611753
Terbaik Historis (Registry),E152,focused,ARIMA,0.8973893602172817,14.045270958702188,-3.265353695326537
Terbaik Historis (Registry),E136,tuning,BiLSTM,0.14626940904316335,2.01,0.8866816528498604
Terbaik Historis (Registry),E144,tuning,LSTM,0.16198842850053635,2.3,0.8610171534932389
Terbaik Historis (Registry),E136,tuning,RF,0.1434,1.95,0.8911
Terbaik Historis (Registry),E136,focused,VAR,2.7089239818468327,38.902183070089066,-37.86752206260912
Terbaik Historis (Registry),E112,focused,XGBoost,0.2206925485654917,3.1834143106372745,0.74203038370958
