experiment_id,imputation,features,scaler,feature_engineering,model,RMSE,MAPE,R2,model_path,label
E001,interpolate,all,standard,none,RF,0.9919561831086041,18.086428375252627,-0.06591964166000319,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Tanpa Feature Engineering
E001,interpolate,all,standard,none,XGBoost,1.050106244081411,19.431356354218035,-0.194554501133398,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Tanpa Feature Engineering
E002,interpolate,all,standard,lag,RF,1.0739057302139847,18.248939730600764,-0.38541646120290074,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E002,interpolate,all,standard,lag,XGBoost,1.0210624507281325,17.339495201597558,-0.252427615171563,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E003,interpolate,all,standard,rolling,RF,0.9055556878932315,16.70825863466932,0.06814426768940107,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E003,interpolate,all,standard,rolling,XGBoost,1.0838906797059866,19.470875994719485,-0.3350247564735096,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E004,interpolate,all,standard,lag_rolling,RF,0.9547008351092782,16.363817368013283,-0.03574527438897501,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E004,interpolate,all,standard,lag_rolling,XGBoost,1.0464577809774478,18.44401428998957,-0.24440508954441387,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E005,interpolate,all,standard,diff,RF,0.9438808967224184,17.055304933114552,-0.01240142669170563,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + First Difference
E005,interpolate,all,standard,diff,XGBoost,1.050389684190569,19.09302269593579,-0.2537739768127154,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + First Difference
E006,interpolate,all,standard,interaction,RF,1.1247827066106462,18.703164323204938,-0.3704927686828663,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E006,interpolate,all,standard,interaction,XGBoost,1.0904042392013074,19.996747852203665,-0.2879961054767033,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E007,interpolate,all,standard,calendar,RF,1.0381043399157652,18.230934414920487,-0.16740486992763337,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E007,interpolate,all,standard,calendar,XGBoost,1.0991280060457933,20.269585384065152,-0.30868774399371834,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E008,interpolate,all,standard,policy_reaction,RF,0.7583871314959638,13.727567613199476,0.3090765476102165,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E008,interpolate,all,standard,policy_reaction,XGBoost,1.2116379610198469,22.35785440763527,-0.7635743229058825,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E009,interpolate,all,minmax,none,RF,0.9919528194799759,18.086283447716397,-0.06591241280896254,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Tanpa Feature Engineering"
E009,interpolate,all,minmax,none,XGBoost,1.050106244081411,19.431356354218035,-0.194554501133398,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Tanpa Feature Engineering"
E010,interpolate,all,minmax,lag,RF,1.0740187371014798,18.251947526137734,-0.3857080507442041,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Lag Features (t-1, t-3, t-6)"
E010,interpolate,all,minmax,lag,XGBoost,1.0210624507281325,17.339495201597558,-0.252427615171563,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Lag Features (t-1, t-3, t-6)"
E011,interpolate,all,minmax,rolling,RF,0.9049058877142561,16.699485284059236,0.06948113250739318,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E011,interpolate,all,minmax,rolling,XGBoost,1.0838906797059866,19.470875994719485,-0.3350247564735096,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E012,interpolate,all,minmax,lag_rolling,RF,0.9547825934894126,16.36530062177027,-0.03592267966335716,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E012,interpolate,all,minmax,lag_rolling,XGBoost,1.0464577809774478,18.44401428998957,-0.24440508954441387,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E013,interpolate,all,minmax,diff,RF,0.9428968405472467,17.0425687275212,-0.010291540694771673,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + First Difference"
E013,interpolate,all,minmax,diff,XGBoost,1.050389684190569,19.09302269593579,-0.2537739768127154,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + First Difference"
E014,interpolate,all,minmax,interaction,RF,1.1247827682774645,18.70364741499238,-0.3704929189588799,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E014,interpolate,all,minmax,interaction,XGBoost,1.0904042392013074,19.996747852203665,-0.2879961054767033,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E015,interpolate,all,minmax,calendar,RF,1.0380565220941655,18.230786423878662,-0.16729732491508154,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E015,interpolate,all,minmax,calendar,XGBoost,1.0991280060457933,20.269585384065152,-0.30868774399371834,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
