experiment_id,imputation,features,scaler,feature_engineering,model,RMSE,MAPE,R2,RMSE_val,MAPE_val,R2_val,model_path,label
E001,interpolate,all,standard,none,RF,0.9919561831086042,18.08642837525263,-0.06591964166000319,1.2063901669407886,24.136774354954394,-0.846791697680813,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Tanpa Feature Engineering
E001,interpolate,all,standard,none,XGBoost,1.050106244081411,19.431356354218035,-0.194554501133398,1.0661627861186849,21.906887421994988,-0.44241216129851857,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Tanpa Feature Engineering
E002,interpolate,all,standard,lag,RF,1.0739057302139847,18.248939730600764,-0.38541646120290074,1.5351840991622312,30.50241895405234,-1.7760964534818764,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E002,interpolate,all,standard,lag,XGBoost,1.0210624507281325,17.339495201597558,-0.252427615171563,1.0898339624844435,22.354452530386194,-0.3990534271817936,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E003,interpolate,all,standard,rolling,RF,0.9055556878932315,16.70825863466932,0.06814426768940107,1.0975692423078605,22.450827438804772,-0.4845111635215309,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E003,interpolate,all,standard,rolling,XGBoost,1.0838906797059866,19.470875994719485,-0.3350247564735096,1.0416108982291077,21.326373681785352,-0.3369976442966398,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E004,interpolate,all,standard,lag_rolling,RF,0.9547008351092781,16.363817368013283,-0.03574527438897501,1.336232103282701,26.774143465483057,-1.200307680737943,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E004,interpolate,all,standard,lag_rolling,XGBoost,1.0464577809774478,18.44401428998957,-0.24440508954441387,1.098286895205254,22.54193876477694,-0.48645311304816174,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E005,interpolate,all,standard,diff,RF,0.9438808967224184,17.055304933114552,-0.01240142669170563,1.0870880385360941,22.05662873578933,-0.4562939520735658,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + First Difference
E005,interpolate,all,standard,diff,XGBoost,1.050389684190569,19.09302269593579,-0.2537739768127154,1.0540013681824545,21.998260065581874,-0.36899531188672463,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + First Difference
E006,interpolate,all,standard,interaction,RF,1.1247827066106462,18.703164323204934,-0.3704927686828663,1.3911980988297847,27.721661873226367,-1.455954333144187,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E006,interpolate,all,standard,interaction,XGBoost,1.0904042392013074,19.996747852203665,-0.2879961054767033,1.0228955033685159,21.16464075066439,-0.3277150405805549,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E007,interpolate,all,standard,calendar,RF,1.0381043399157652,18.230934414920487,-0.16740486992763337,1.2766998584294897,25.489187063768924,-1.0683305970598265,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E007,interpolate,all,standard,calendar,XGBoost,1.0991280060457933,20.269585384065152,-0.30868774399371834,1.0484474987277723,21.823479817701262,-0.39487635350203676,,"Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E008,interpolate,all,standard,policy_reaction,RF,0.7583871314959639,13.72756761319948,0.3090765476102163,0.893802020515218,18.8224949831727,0.05898555852514997,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E008,interpolate,all,standard,policy_reaction,XGBoost,1.2116379610198469,22.35785440763527,-0.7635743229058825,0.9537495894728,19.1364378009069,-0.07147576471503458,,Interpolasi Linear + Semua Fitur (12) + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E009,interpolate,all,minmax,none,RF,0.9919528194799759,18.086283447716397,-0.06591241280896254,1.2062915513022214,24.13991317086723,-0.8464897802683391,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Tanpa Feature Engineering"
E009,interpolate,all,minmax,none,XGBoost,1.050106244081411,19.431356354218035,-0.194554501133398,1.0661627861186849,21.906887421994988,-0.44241216129851857,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Tanpa Feature Engineering"
E010,interpolate,all,minmax,lag,RF,1.0740187371014795,18.251947526137727,-0.3857080507442039,1.5350828503957585,30.49537323645975,-1.7757302862282214,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Lag Features (t-1, t-3, t-6)"
E010,interpolate,all,minmax,lag,XGBoost,1.0210624507281325,17.339495201597558,-0.252427615171563,1.0898339624844435,22.354452530386194,-0.3990534271817936,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Lag Features (t-1, t-3, t-6)"
E011,interpolate,all,minmax,rolling,RF,0.9049058877142562,16.699485284059236,0.06948113250739296,1.0971556165234362,22.447146211928057,-0.4833924798523286,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E011,interpolate,all,minmax,rolling,XGBoost,1.0838906797059866,19.470875994719485,-0.3350247564735096,1.0416108982291077,21.326373681785352,-0.3369976442966398,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Rolling Mean & Std (3, 6)"
E012,interpolate,all,minmax,lag_rolling,RF,0.9547825934894126,16.36530062177027,-0.03592267966335716,1.336397633353912,26.774760979804803,-1.2008528549565063,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E012,interpolate,all,minmax,lag_rolling,XGBoost,1.0464577809774478,18.44401428998957,-0.24440508954441387,1.098286895205254,22.54193876477694,-0.48645311304816174,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Lag (1,3) + Rolling (6)"
E013,interpolate,all,minmax,diff,RF,0.9428968405472467,17.0425687275212,-0.010291540694771673,1.086974354585881,22.057579229804087,-0.45598937951537555,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + First Difference"
E013,interpolate,all,minmax,diff,XGBoost,1.050389684190569,19.09302269593579,-0.2537739768127154,1.0540013681824545,21.998260065581874,-0.36899531188672463,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + First Difference"
E014,interpolate,all,minmax,interaction,RF,1.1247827682774643,18.703647414992375,-0.3704929189588797,1.391075965618897,27.718791876021132,-1.4555231358584835,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E014,interpolate,all,minmax,interaction,XGBoost,1.0904042392013074,19.996747852203665,-0.2879961054767033,1.0228955033685159,21.16464075066439,-0.3277150405805549,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fitur Interaksi Ekonomi"
E015,interpolate,all,minmax,calendar,RF,1.0380565220941655,18.23078642387866,-0.16729732491508154,1.2768928506028132,25.498692567143493,-1.0689559621913496,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E015,interpolate,all,minmax,calendar,XGBoost,1.0991280060457933,20.269585384065152,-0.30868774399371834,1.0484474987277723,21.823479817701262,-0.39487635350203676,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fitur Kalender (Bulan, Kuartal)"
E016,interpolate,all,minmax,policy_reaction,RF,0.7611163440057789,13.800510957437872,0.3040947385846964,0.8942319695692457,18.843367995481298,0.05808002112428867,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E016,interpolate,all,minmax,policy_reaction,XGBoost,1.2116379610198469,22.35785440763527,-0.7635743229058825,0.9537495894728,19.1364378009069,-0.07147576471503458,,"Interpolasi Linear + Semua Fitur (12) + MinMaxScaler [0, 1] + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi"
E017,interpolate,all,robust,none,RF,0.9914099482518896,18.0801584477164,-0.06474603709444993,1.2061222401264953,24.1321258288773,-0.8459714819923314,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Tanpa Feature Engineering
E017,interpolate,all,robust,none,XGBoost,1.050106244081411,19.431356354218035,-0.194554501133398,1.0661627861186849,21.906887421994988,-0.44241216129851857,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Tanpa Feature Engineering
E018,interpolate,all,robust,lag,RF,1.0731526920933923,18.23276297001557,-0.3834741945767097,1.5347935411254434,30.483519225951227,-1.7746841292333286,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Lag Features (t-1, t-3, t-6)"
E018,interpolate,all,robust,lag,XGBoost,1.0210624507281325,17.339495201597558,-0.252427615171563,1.0898339624844435,22.354452530386194,-0.3990534271817936,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Lag Features (t-1, t-3, t-6)"
E019,interpolate,all,robust,rolling,RF,0.9049029504630913,16.69984971554611,0.06948717327523113,1.0975410836368689,22.451141694942013,-0.48443499279151725,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Rolling Mean & Std (3, 6)"
E019,interpolate,all,robust,rolling,XGBoost,1.0838906797059866,19.470875994719485,-0.3350247564735096,1.0416108982291077,21.326373681785352,-0.3369976442966398,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Rolling Mean & Std (3, 6)"
E020,interpolate,all,robust,lag_rolling,RF,0.9547082123299035,16.362529534039112,-0.03576128139481738,1.3362346250077202,26.7721545019082,-1.200315985546891,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Lag (1,3) + Rolling (6)"
E020,interpolate,all,robust,lag_rolling,XGBoost,1.0464577809774478,18.44401428998957,-0.24440508954441387,1.098286895205254,22.54193876477694,-0.48645311304816174,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Lag (1,3) + Rolling (6)"
E021,interpolate,all,robust,diff,RF,0.942836012307905,17.04064128987948,-0.010161192875734582,1.0862939767934516,22.027851821037924,-0.4541672338469622,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + First Difference
E021,interpolate,all,robust,diff,XGBoost,1.050389684190569,19.09302269593579,-0.2537739768127154,1.0540013681824545,21.998260065581874,-0.36899531188672463,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + First Difference
E022,interpolate,all,robust,interaction,RF,1.1247967704286572,18.705036303881265,-0.3705270410472443,1.3910807785734094,27.71892526270914,-1.455540127513712,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fitur Interaksi Ekonomi
E022,interpolate,all,robust,interaction,XGBoost,1.0904042392013074,19.996747852203665,-0.2879961054767033,1.0228955033685159,21.16464075066439,-0.3277150405805549,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fitur Interaksi Ekonomi
E023,interpolate,all,robust,calendar,RF,1.038219384042733,18.239110236418675,-0.16766363103812765,1.2769035164227451,25.493366891324516,-1.0689905260999697,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fitur Kalender (Bulan, Kuartal)"
E023,interpolate,all,robust,calendar,XGBoost,1.0991280060457933,20.269585384065152,-0.30868774399371834,1.0484474987277723,21.823479817701262,-0.39487635350203676,,"Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fitur Kalender (Bulan, Kuartal)"
E024,interpolate,all,robust,policy_reaction,RF,0.7436324274371736,13.511726941226488,0.3356993712456312,0.896056803603431,18.926123246977504,0.05423179942007639,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E024,interpolate,all,robust,policy_reaction,XGBoost,1.2116379610198469,22.35785440763527,-0.7635743229058825,0.9537495894728,19.1364378009069,-0.07147576471503458,,Interpolasi Linear + Semua Fitur (12) + RobustScaler (IQR) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
E025,interpolate,domain_itf,standard,none,RF,1.3172226015613544,24.083281021778408,-0.8795671031161139,1.4521043647511829,29.495312068813444,-1.6757035681029406,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Tanpa Feature Engineering
E025,interpolate,domain_itf,standard,none,XGBoost,1.1114717538394463,17.70569287264013,-0.33824721417244086,1.6901185353529395,33.46462040813506,-2.6247383725536637,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Tanpa Feature Engineering
E026,interpolate,domain_itf,standard,lag,RF,1.538792235163028,29.802193838701683,-1.8445134813138888,1.780148887051123,37.42829037293156,-2.7327274327197273,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E026,interpolate,domain_itf,standard,lag,XGBoost,0.9597639238823777,14.960889145114429,-0.10656484020275503,1.8269082601091724,37.27149542798557,-2.9313988211299615,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Lag Features (t-1, t-3, t-6)"
E027,interpolate,domain_itf,standard,rolling,RF,0.9684520799943693,16.818260686014664,-0.06579733037697655,1.1782309155356128,23.887374430038644,-0.7107259356477349,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E027,interpolate,domain_itf,standard,rolling,XGBoost,1.0692316748246986,19.22679222449468,-0.299158045341386,1.4760359594018035,30.21286507045251,-1.6848095722983176,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Rolling Mean & Std (3, 6)"
E028,interpolate,domain_itf,standard,lag_rolling,RF,1.49133119952516,29.45494941512148,-1.5273568293305768,1.700620115125983,36.789169073168274,-2.563971602543986,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E028,interpolate,domain_itf,standard,lag_rolling,XGBoost,1.123322786374506,19.28947465332453,-0.4339284869261224,1.6627150562378994,33.180349677154865,-2.406867713420016,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Lag (1,3) + Rolling (6)"
E029,interpolate,domain_itf,standard,diff,RF,1.271714979449779,21.73073067155888,-0.8377986546698886,1.400670379233663,27.968755409318252,-1.4176392658196906,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + First Difference
E029,interpolate,domain_itf,standard,diff,XGBoost,0.9824747990634046,16.117536871886813,-0.09688524434148738,1.5474942372306149,31.262184554099225,-1.9510576416978114,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + First Difference
E030,interpolate,domain_itf,standard,interaction,RF,1.6106887851203302,31.040586504581423,-1.8103651862016568,1.7164462227615722,35.566426181328865,-2.7385460860955577,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E030,interpolate,domain_itf,standard,interaction,XGBoost,1.197345504098686,20.598425674726784,-0.5530250574790374,1.696036351959583,33.53937030989164,-2.6501662820961913,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fitur Interaksi Ekonomi
E031,interpolate,domain_itf,standard,calendar,RF,1.2519060456656854,22.309012205082546,-0.6977860497487267,1.363809305863366,27.058694737714568,-1.3602045057517858,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E031,interpolate,domain_itf,standard,calendar,XGBoost,1.127348515263064,18.620747045943748,-0.3767525252439645,1.6716668715147747,33.13043654359156,-2.5460251201676978,,"Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fitur Kalender (Bulan, Kuartal)"
E032,interpolate,domain_itf,standard,policy_reaction,RF,0.7399586324689453,13.166228426562961,0.34224689596440017,0.9061767271629083,18.70240470498885,0.032748453475321626,,Interpolasi Linear + Domain Expert — ITF (7) + StandardScaler (Z-Score) + Fungsi Reaksi Kebijakan (Taylor/ITF) + Persistensi
